Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,000",0.0,Nil,Nil,No,"Executive Officer, Balasore Municipality",Balasore Municipality,Municipal Bodies||Balasore Municipality,BM_02_2023_24,2023_ORULB_88734_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,08-May-2023 05:00 PM,22-May-2023 11:00 AM,08-May-2023 05:00 PM,20-May-2023 05:00 PM,NA ,NA ,08-May-2023 05:00 PM,20-May-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Const. of Paver Block Road and Drain from Munta sir House to Siraj House in Ward No_04 under Balasore Municipality,Const. of Paver Block Road and Drain from Munta sir House to Siraj House in Ward No_04 under Balasore Municipality,Please refer Tender documents. ,NA ,"3,33,154",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1,ICICI BANK,"3,332",Yes,percentage,1.0%,Nil,Nil,AOC,26-Jun-2023,"INR 393,122",60.0,Pranabananda Sahu,26-Jun-2023 01:43 PM,WO0221.pdf (356.00 KB),1,2142693,JAYADEV PRADHAN,20-May-2023 12:50 PM,Rejected-Finance,L2,26-Jun-2023 01:39 PM,EO ME CP,Internal,,Pranabananda Sahu,23-Jun-2023 04:33 PM,techsummary_436920.pdf (509.95 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_88734_21,BM_02_2023_24,Const. of Paver Block Road and Drain from Munta sir House to Siraj House in Ward No_04 under Balasore Municipality,EO ME CP,Internal,,Pranabananda Sahu,26-Jun-2023 01:39 PM,finsummary_436920.pdf (509.95 KB),Finance,TENDER OPENED SUCCESSFULLY,Kunal Motiram Chavan,22-May-2023 05:07 PM,,BOQ Comparative Chart,1.0,2142647.0,Sk Ibrar Hossain,INR,"329,822.46",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,2,2142647,Sk Ibrar Hossain,20-May-2023 04:31 PM,Accepted-AOC,WO,26-Jun-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
