Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_36,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:45 AM,Construction of Watchman shed and peripheral development at Biju Pattanaik Park in Ward No 05,Construction of Watchman shed and peripheral development at Biju Pattanaik Park in Ward No 05,Please refer Tender documents. ,NA ,"4,23,549",Civil Works - Others,NA ,Tender,120.0,60.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,1.0,OPENING DATE EXTENSION,Date,,"4,235",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN",1.0,ICICI BANK,AOC,26-Jun-2023,"INR 424,870",60.0,Rizwana Kawkab,26-Jun-2023 01:11 PM,IMG_20230626_0007.pdf (460.00 KB),1,2129502,BIKASH AGRAWALLA,03-May-2023 08:48 PM,Rejected-Finance,Due to Lottery,26-Jun-2023 01:09 PM,Finance,OK,Rizwana Kawkab,12-May-2023 10:06 AM,,BOQ Comparative Chart,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:40 AM,12-May-2023 09:45 AM,techsummary_435070.pdf (522.34 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,26-Jun-2023 01:09 PM,finsummary_435070.pdf (375.98 KB),Municipal Bodies||Khordha Municipality,2023_ORULB_88116_36,KMPLTY/ 02/2023-24,Construction of Watchman shed and peripheral development at Biju Pattanaik Park in Ward No 05,Technical,OPENED,Nihar Ranjan Sahu,09-May-2023 10:52 AM,technical_435070.pdf,1.0,2129043.0,DILLIP KUMAR MOHANTY,INR,"424,870",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,2129043,DILLIP KUMAR MOHANTY,03-May-2023 01:32 PM,Accepted-AOC,Due to Lottery,26-Jun-2023 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2124452,NIRANJAN BARAL,28-Apr-2023 01:57 PM,Rejected-Technical,Bid confirmation sheet not submitted,12-May-2023 09:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
