Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Sri Tarini Chandra Sethy,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Manoranjan Behera,20-May-2023 07:47 PM,techsummary_436302.pdf (206.16 KB),02-Jun-2023,"INR 2,338,180",120.0,Himanshu Sekhar Behera,22-Jun-2023 11:19 AM,34Manjore3.pdf (1618.00 KB),Through transparent lottery system.,1,2135109,ASIAN GEOTECH RESEARCH SERVICES,10-May-2023 11:06 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,Finance,13 (Thirteen) nos. of Bidders have participated,Rajendra Kumar Behera,11-May-2023 12:43 PM,,BOQ Comparative Chart,1.0,2134269.0,D N CONSULTANT,INR,"2,338,180",Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2023_CADSP_88509_34,JDSP-01/2023-24,Survey and Planning for Command Area Development and water management in Manjore Irrigation Project (Left Main Canal RD 2.5 Km to Tail and Offtakings ) of Block Athamallik in Angul District,Sri Tarini Chandra Sethy JD,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Himanshu Sekhar Behera,22-May-2023 08:01 PM,finsummary_436302.pdf (590.53 KB),AOC,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, EMD,Bid Security Declaration, Affidavit and other Document",Deputy Director,"office of JD, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha,",Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-01/2023-24,2023_CADSP_88509_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Survey and Planning for Command Area Development and water management in Manjore Irrigation Project (Left Main Canal RD 2.5 Km to Tail and Offtakings ) of Block Athamallik in Angul District,Survey and Planning for Command Area Development and water management,Please refer Tender documents. ,NA ,"27,50,476",Civil Works - Others,NA ,Tender,90.0,120.0,Athamallik,759125.0,NA ,NA ,NA ,"JD, SP, OFMRDC Campus, Satyanagar, Bhubaneswar-7",No ,No,1.0,ICICI BANK,01-May-2023 11:00 AM,11-May-2023 11:00 AM,01-May-2023 11:00 AM,10-May-2023 05:00 PM,01-May-2023 11:00 AM ,06-May-2023 05:00 PM ,01-May-2023 11:00 AM,10-May-2023 05:00 PM,"27,600",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,2,2135328,CHETAK ENGINEERS,10-May-2023 03:00 PM,Rejected-Technical,Due to non-fulfilling of criteria as per DTCN,20-May-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2134269,D N CONSULTANT,10-May-2023 10:01 AM,Accepted-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2134665,Hydropneum Systems,10-May-2023 11:26 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2134801,M/S GAYATRI CONSULTANT,10-May-2023 12:33 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2131935,M/s M K CONSULTANCY,09-May-2023 03:24 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2135265,NIRAJ BHARAT VANKUDRE,10-May-2023 04:07 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2132671,"Pioneer, Consulting Engineers & Contractors",09-May-2023 09:58 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2135658,Subudhi Technoengineers Pvt Ltd,10-May-2023 04:07 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2131394,Sujal Associates,06-May-2023 10:16 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,11,2134247,VENKATESHWARA ENTERPRISES,10-May-2023 04:08 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,12,2129910,Visiontek Consultancy Services Pvt. Ltd.,10-May-2023 01:07 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,13,2128574,Water Power Consultants india Pvt Ltd,10-May-2023 06:02 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
