Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
"Er. B.Panigrahi, SE",Internal,"Er.R.R.Mohanty, AEE (Estr), Sri B.K.Padhan, Divisional Accountant",BISWAJIT PANIGRAHI,08-May-2023 06:20 PM,techsummary_435245.pdf (430.70 KB),1.0,2127011.0,SURENDRANATH PATTNAIK,INR,"721,164","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Rukura Irrigation Division , Panposh",2023_CEBBU_88227_4,CDT-01 of 2023-24,Improvement to water course (L) within RD 478 mtr to RD 700 mtr offtaking at RD 103785 ft. of Bargarh Main Canal,1,2127276,MINATI NANDA,01-May-2023 01:01 PM,Rejected-Finance,Rejected in the transparent lottery system,18-May-2023 12:15 PM,Finance,All bids opened,BISWAJIT PANIGRAHI,03-May-2023 12:50 PM,finance_435245.pdf,BOQ Comparative Chart,"Er. B.Panigrahi, SE",Internal,"Er.R.R.Mohanty, AEE (Estr), Sri B.K.Padhan, Divisional Accountant",BISWAJIT PANIGRAHI,18-May-2023 12:15 PM,finsummary_435245.pdf (818.55 KB),19-May-2023,"INR 848,328",30.0,BISWAJIT PANIGRAHI,01-Jun-2023 09:35 AM,1-4.pdf (758.00 KB),Work Order,AOC,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,"8,500",Yes,fixed,,Nil,Nil,Improvement to water course (L) within RD 478 mtr to RD 700 mtr offtaking at RD 103785 ft. of Bargarh Main Canal,Improvement of canal,Please refer Tender documents. ,NA ,"8,48,328",Civil Works - Canal,NA ,Tender,90.0,30.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the S.E., Bargarh Irrigation Division, Bargarh",No ,No,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Rukura Irrigation Division , Panposh",CDT-01 of 2023-24,2023_CEBBU_88227_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"S.E., Bargarh Irrigation Division, Bargarh","O/o the S.E., Bargarh Irrigation Division, Bargarh",21-Apr-2023 10:00 AM,02-May-2023 10:00 AM,21-Apr-2023 10:00 AM,01-May-2023 05:00 PM,21-Apr-2023 10:00 AM ,27-Apr-2023 01:00 PM ,21-Apr-2023 10:00 AM,01-May-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid R.C, PAN, GSTIN, Affidavits, No Relation Certificate and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,2,2127011,SURENDRANATH PATTNAIK,01-May-2023 12:47 PM,Accepted-AOC,Work Order,01-Jun-2023 09:35 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,AOC
