Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
CSO-cum-District Manager,"Odisha State Civil Supplies Corporation Ltd., College Chhak, Kendrapara 754211",24-Apr-2023 04:00 PM,10-May-2023 11:00 AM,24-Apr-2023 04:00 PM,09-May-2023 05:00 PM,NA ,NA ,24-Apr-2023 04:05 PM,09-May-2023 05:00 PM,30-May-2023 02:00 PM,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kendrapada,OSC/PDS/II/6/2023-902/20.04.23,2023_OSCSC_88347_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"4,68,746",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Document for Selection and Appointment of Level-II Transport Contractor for biennial 2023-25,1.0,ICICI BANK,"5,900",0.0,Nil,Nil,No,e-Tender for Selection and Appointment of Level-II Transport Contractor of the Unit- Rajanagar Block for biennial 2023-25,Transportation of food grains from rice receiving centre (RRC-cum-DSC/PEG/CWC) to Retail Centres (FPS) for the biennial 2023-25.,Pls.refer to tender documents ,NA ,,Handling and Transportation,NA ,Tender,45.0,730.0,PEG-Aul and PEG-LNPur to FPS of Rajnagar Block,754211.0,"CSO-cum-District Manager, OSCSC Ltd., Kendrapara. ","Odisha State Civil Supplies Corporation Ltd., College Chhak, Kendrapara 754211 ",26-Apr-2023 11:00 AM ,"Collectorate, Kendrapara.",No ,No,AOC,Collector Kendrapara,Internal,details as per procee,Prasanta Kumar Gantayat,30-May-2023 12:29 PM,30-May-2023 02:00 PM,techsummary_435670.pdf (1982.44 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kendrapada,2023_OSCSC_88347_1,OSC/PDS/II/6/2023-902/20.04.23,e-Tender for Selection and Appointment of Level-II Transport Contractor of the Unit- Rajanagar Block for biennial 2023-25,1.0,2130366.0,BIKASH SEKHAR NAYAK,INR,42.17,Technical,Tech. Bid Opening,Prasanta Kumar Gantayat,10-May-2023 05:32 PM,technical_435670.pdf,1,2132659,ABHIMANYU SAHOO,09-May-2023 12:00 PM,Rejected-Finance,as per Proceeding,30-Jun-2023 04:03 PM,Finance,Price Bid Opening,Prasanta Kumar Gantayat,30-May-2023 04:15 PM,finance_435670.pdf,BOQ Comparative Chart,30-Jun-2023,"INR 9,374,921",639.0,Subhalaxmi Beura,30-Jun-2023 05:06 PM,Rajanagar.pdf (121.00 KB),As per AOC,Collector Kendrapara,Internal,as per Proceeding,Prasanta Kumar Gantayat,30-Jun-2023 04:03 PM,finsummary_435670.pdf (1262.39 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ for Selection and Appointment of Level-II Transport Contractor for the biennial 2023-25,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2134339,Akshya Ku. Swain,09-May-2023 04:57 PM,Rejected-Finance,as per Proceeding,30-Jun-2023 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2130364,ALOK PANDA,09-May-2023 02:50 AM,Rejected-Finance,as per Proceeding,30-Jun-2023 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2130366,BIKASH SEKHAR NAYAK,08-May-2023 11:20 PM,Accepted-AOC,As per AOC,30-Jun-2023 05:07 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2132269,BINODINI BARAL,08-May-2023 08:50 PM,Rejected-Technical,As per Technical Bid Proceeding,30-May-2023 12:29 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2130372,MEGHNA MINES AND MINERALS RESOURCES PRIVATE LIMITED,09-May-2023 02:29 PM,Rejected-Technical,As per Technical Bid Proceeding,30-May-2023 12:29 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2132684,M/S SOURENDRA SAHOO,09-May-2023 01:22 PM,Rejected-Technical,As per Technical Bid Proceeding,30-May-2023 12:29 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2131648,PRADIPTA KUMAR SINGH,08-May-2023 01:46 PM,Rejected-Technical,As per Technical Bid Proceeding,30-May-2023 12:29 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2130363,Ranjan Kumar Sethi,09-May-2023 11:16 AM,Rejected-Finance,as per Proceeding,30-Jun-2023 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2131683,SAI MADHURI ENTERPRISES,09-May-2023 03:28 PM,Rejected-Finance,as per Proceeding,30-Jun-2023 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,2133030,Santosh Parida,09-May-2023 03:03 AM,Rejected-Finance,as per Proceeding,30-Jun-2023 04:03 PM,,,,,,,,,,,,,,,,,,,,AOC
