Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Construction of 6 No. E type Qtr. at District Hdqtrs, Nayagarh.",Building Work,Please refer Tender documents  ,NA ,"1,59,73,099",Civil Works - Buildings,NA ,Tender,90.0,360.0,Nayagarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,28-Apr-2023 06:55 PM,15-May-2023 11:00 AM,28-Apr-2023 06:55 PM,12-May-2023 05:00 PM,28-Apr-2023 06:55 PM ,01-May-2023 05:00 PM ,28-Apr-2023 06:55 PM,12-May-2023 05:00 PM,31-May-2023 11:00 AM,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,05/OPHWC/2023-24,2023_OSPHW_88456_29,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,59,700",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC,Technical,TWO BIDDER HAVE PARTICIPATE,Bikram Keshari Malla,15-May-2023 06:01 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_88456_29,05/OPHWC/2023-24,"Construction of 6 No. E type Qtr. at District Hdqtrs, Nayagarh.",AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,30-Jun-2023 03:51 PM,finsummary_436129.pdf (732.95 KB),1.0,2136894.0,PRAMOD KUMAR NAYAK,INR,"14,377,387",30-Jun-2023,"INR 14,377,387",360.0,Bikram Keshari Malla,30-Jun-2023 03:53 PM,WORKUI.pdf (790.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 28.06.2023,1.0,2136616.0,Debabrata Bhatta,12-May-2023 11:18 AM,Rejected-Finance,DUE TO L2 BIDDER,30-Jun-2023 03:51 PM,AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,30-May-2023 04:40 PM,31-May-2023 11:00 AM,techsummary_436129.pdf (92.79 KB),Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,31-May-2023 11:41 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2136894.0,PRAMOD KUMAR NAYAK,12-May-2023 02:58 PM,Accepted-AOC,QUALIFIED BIDDER,30-Jun-2023 03:53 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
