Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar,2023_CEMWR_87029_1,ACEMC/MDHKD-04/2022-23,"Fabrication, Supply and Erection of 4Nos Scouring Sluice Gates 2Nos. Left and 2Nos. Right and its accessories of Sanbagbar Check Dam in Harbhanga Block under Superintending Engineer, Minor Irrigation Division, Boudh for the Year 2022-23",1.0,2102150.0,LAXMIDHRA BHUYAN,INR,"1,167,455",Nihar Kanti Mishra,Internal,"1. Ajit Tirkey, JEM, 2.Dasaratha Hembram, AEEM, 3.Jayanta Kumar Dey, SEM",Niharkanti Mishra,31-Mar-2023 11:20 AM,techsummary_431387.pdf (201.70 KB),29-May-2023,"INR 1,167,455",60.0,Niharkanti Mishra,07-Jun-2023 11:31 AM,AOC-4-7.pdf (967.00 KB),The 1st lowest bidder M/S B.B industries is awarded the contract,Finance,"Accepted Bids-23Nos, Rejected Bids-Nil",Niharkanti Mishra,30-Mar-2023 06:53 PM,finance_431387.pdf,BOQ Comparative Chart,Nihar Kanti Mishra,Internal,"1.Ajit Tirkey,JEM 2.Dasaratha Hembram,AEEM, 3.Jayanta Kumar Dey,SEM",Niharkanti Mishra,31-Mar-2023 12:01 PM,finsummary_431387.pdf (384.78 KB),1,2104156,ALBINO ENTERPRISERS,26-Mar-2023 03:50 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,"6,000",0.0,Nil,Nil,No,"Fabrication, Supply and Erection of 4Nos Scouring Sluice Gates 2Nos. Left and 2Nos. Right and its accessories of Sanbagbar Check Dam in Harbhanga Block under Superintending Engineer, Minor Irrigation Division, Boudh for the Year 2022-23","Fabrication, Supply and Erection of 4Nos Scouring Sluice Gates 2Nos. Left and 2Nos. Right and its accessories of Sanbagbar Check Dam in Harbhanga Block under Superintending Engineer, Minor Irrigation Division, Boudh for the Year 2022-23",Please refer Tender documents. ,NA ,,Mechanical Works,NA ,Tender,90.0,60.0,"Harabhanga Block,Boudh",762020.0,NA ,NA ,NA ,"O/o THE ACE, MECHANICAL CIRCLE, HIRAKUD",No ,No,1.0,ICICI BANK,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar,ACEMC/MDHKD-04/2022-23,2023_CEMWR_87029_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,18-Mar-2023 04:00 PM,29-Mar-2023 11:00 AM,18-Mar-2023 04:00 PM,28-Mar-2023 05:30 PM,18-Mar-2023 04:00 PM ,28-Mar-2023 05:30 PM ,18-Mar-2023 04:00 PM,28-Mar-2023 05:30 PM,"13,800",No,fixed,,Nil,Nil,ADDITIONAL CHIEF ENGINEER,"O/o THE ACE, MECHANICAL CIRCLE, HIRAKUD",1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Call Notice,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2102165,BANASHREE BHUYAN,28-Mar-2023 09:58 AM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"RC,GST,PAN,EPF,ESI AND ALL OTHER DOCUMENTS AS PER DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2102150,LAXMIDHRA BHUYAN,27-Mar-2023 10:44 PM,Accepted-AOC,1st lowest bidder in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2101006,Manashi Dash (Prop - M/s. Babby Engg. & Works),25-Mar-2023 07:21 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2104714,Md Yousuf Hussain,27-Mar-2023 12:50 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2103001,M/S Abirvab Steel Product,25-Mar-2023 04:42 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2102985,M/S ADITYA INDUSTRIAL ENTERPRISERS(PROP.SUKANTA SAHOO),25-Mar-2023 09:07 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2100589,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,25-Mar-2023 04:41 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2102480,M/S Ashreebad Fabricators,28-Mar-2023 12:41 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2100568,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,25-Mar-2023 02:02 PM,Rejected-AOC,Not qualified in the lottery process,07-Jun-2023 11:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
