Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. Abhiram Beheria,Internal,"Er. Abhiram Beheria S.E., Er. Abhishek Sahu AEE (Estimator), Sri. Bipin Kumar (DAO), Er. Kartik Ch. Bindhani AE (Estimator)",Ramakanta Patra,14-Jun-2023 08:25 PM,techsummary_430750.pdf (306.70 KB),"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",2023_CCEBA_86804_1,SE-PID-BML-06/2022-23,"Providing Security arrangement for P.I. Division, Balimela for the period from April 2023 to March 2024",1.0,2099774.0,DREAM POWER INTELLIGENCE AND HOSPITALITY PRIVATE LIMITED,INR,"3,582,817.92",1,2099774,DREAM POWER INTELLIGENCE AND HOSPITALITY PRIVATE LIMITED,21-Mar-2023 05:33 PM,Accepted-AOC,Lowest valid responsive bidder,14-Jun-2023 08:31 PM,Finance,Bid Open,Ramakanta Patra,14-Jun-2023 08:20 PM,finance_430750.pdf,BOQ Comparative Chart,Er. Abhiram Beheria,Internal,"Er. Abhiram Beheria S.E., Er. Abhishek Sahu AEE (Estimator), Sri. Bipin Kumar (DAO), Er. Kartik Ch. Bindhani AE (Estimator)",Ramakanta Patra,14-Jun-2023 08:28 PM,finsummary_430750.pdf (299.84 KB),14-Jun-2023,"INR 3,582,817.92",366.0,Ramakanta Patra,14-Jun-2023 08:30 PM,AOC.pdf (454.00 KB),Agreement No. 01(Security Services) / 2023-24 dated 01.04.2023,AOC,14-Mar-2023 10:00 AM,24-Mar-2023 11:00 AM,14-Mar-2023 10:00 AM,23-Mar-2023 05:00 PM,NA ,NA ,14-Mar-2023 10:00 AM,23-Mar-2023 05:00 PM,"Providing Security arrangement for P.I. Division, Balimela for the period from April 2023 to March 2024","Supplying of Security Guards including daily wages, all costs, all allowances, EPF dues, all Taxes as applicable, CESS etc. Complete in all respects as directed by the Engineer-in- Charge and following all the rules applicable to labour laws and EPF",Please refer Tender documents. ,NA ,"39,80,909",Miscellaneous Services,NA ,Tender,90.0,366.0,Service,764051.0,NA ,NA ,NA ,Balimela,No ,No,1.0,ICICI BANK,Superintending Engineer,"O/o S.E., Potteru Irrigation Division, Balimela, Dist. Malkangiri.","CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",SE-PID-BML-06/2022-23,2023_CCEBA_86804_1,Yes,Open Tender,Percentage,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Certificate, Active GST, PAN, EPF Regd. Certificate, Affidavit, NRC, Tender cost and EMD","40,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,2099618,NEWMARK INDUSTRIAL SECURITY AND SOLUTIONS PRIVATE LIMITED,22-Mar-2023 06:01 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,14-Jun-2023 08:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2102698,SISF SERVICE PRIVATE LIMITED,23-Mar-2023 03:09 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,14-Jun-2023 08:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
