Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Executive Officer,"O/O Executive Officer, Angul Municipality, Angul",Municipal Bodies||Angul Municipality,EO/AGLM-07/2022-23,2022_ORULB_80803_53,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost. EMD declaration, RC, GST, PAN, Affidavit and other document as per DTCN","4,000",0.0,Nil,Nil,No,Const. of c.c. road from Manas Pradhan plot towards Krishna Enclave in ward No.6,Const. of c.c. road from Manas Pradhan plot towards Krishna Enclave in ward No.6,Please refer Tender documents. ,NA ,"6,16,069",Civil Works - Others,NA ,Tender,90.0,60.0,Angul,759122.0,NA ,NA ,NA ,"O/O Executive Officer, Angul Municipality, Angul",No ,No,0.0,No,fixed,,Nil,Nil,30-Aug-2022 10:00 AM,09-Sep-2022 11:00 AM,30-Aug-2022 10:00 AM,08-Sep-2022 05:00 PM,NA ,NA ,30-Aug-2022 10:00 AM,08-Sep-2022 05:00 PM,AOC,1,1928655,AJIT PRASAD DWIVEDY,08-Sep-2022 12:30 PM,Rejected-AOC,Lottery looser,01-Jun-2023 12:15 PM,01-Jun-2023,"INR 616,069.37",60.0,Girija Sankar Mallik,01-Jun-2023 12:13 PM,AOC.pdf (593.00 KB),Date of agreement 29.09.2022 Date of completion 28.11.2022,Chairperson,Internal,"Sri Santosh Ku. Pradhan,ADM(R),G.S.Mallick,EO,Angul Municipality,Harihar Naik,ATO,Angul,Rabin ku. Das,AEE,Angul Municipality",Girija Sankar Mallik,23-Feb-2023 11:40 AM,techsummary_409048.pdf (3699.67 KB),Chairperson,Internal,"Sri Santosh Ku. Pradhan,ADM(R),G.S.Mallick,EO,Angul Municipality,Harihar Naik,ATO,Angul,Rabin ku. Das,AEE,Angul Municipality",Girija Sankar Mallik,23-Feb-2023 04:59 PM,finsummary_409048.pdf (1650.10 KB),Municipal Bodies||Angul Municipality,2022_ORULB_80803_53,EO/AGLM-07/2022-23,Const. of c.c. road from Manas Pradhan plot towards Krishna Enclave in ward No.6,1.0,1926590.0,SMT SUNITA BHUTIA,INR,"523,721",Finance,5 Nos bidder participated,Girija Sankar Mallik,09-Sep-2022 04:14 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,1928738,DEBABRATA NAIK,08-Sep-2022 01:23 PM,Rejected-AOC,Lottery looser,01-Jun-2023 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,1927463,Nilanchala Pradhan,07-Sep-2022 11:35 AM,Rejected-AOC,Lottery looser,01-Jun-2023 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,1926590,SMT SUNITA BHUTIA,06-Sep-2022 07:30 AM,Accepted-AOC,Lottery winner,01-Jun-2023 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,1928367,SUBRAT KUMAR BEHERA,07-Sep-2022 10:56 PM,Rejected-AOC,Lottery looser,01-Jun-2023 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
