Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Debendra Kumar Seth,Internal,,Debendra Kumar Seth,29-Apr-2023 05:53 PM,08-May-2023 11:00 AM,techsummary_431520.pdf (170.55 KB),1.0,2109011.0,KASHINATH MOHARANA,INR,"39,832,801.44",CE RW I||RWCIRCLE-BHAWANIPATNA,2023_CERWI_87085_1,BPT/Online-29/2022-23,Construction of road from Lohajore to Dangriguda via Dhamankhunti Panimunda under CMRL in the district of Kalahandi.,1,2107384,Bharat Bhusan Panda,30-Mar-2023 07:35 PM,Rejected-AOC,NOT SELECTED LOTTERY,28-Jun-2023 12:44 PM,Technical,8NOS. BIDDERS ARE PARTICIPATED,Pradeep Kisan,04-Apr-2023 01:01 PM,,Finance,7NOS. BIDDERS PRICE BID OPENED,Debendra Kumar Seth,08-May-2023 01:37 PM,,BOQ Comparative Chart,28-Jun-2023,"INR 46,856,607",365.0,Debendra Kumar Seth,28-Jun-2023 12:43 PM,806.pdf (808.00 KB),RAJENDRA PRASAD ACHARYA,Internal,,Debendra Kumar Seth,28-Jun-2023 12:42 PM,finsummary_431520.pdf (807.81 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GST, PAN, RC, Affidavit correctness certificate and no relation certificate",CE RW I||RWCIRCLE-BHAWANIPATNA,BPT/Online-29/2022-23,2023_CERWI_87085_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Chief Construction Engineer,"O/O THE C.C.E.R.W.CIRCLE, BHAWANIPATNA",Construction of road from Lohajore to Dangriguda via Dhamankhunti Panimunda under CMRL in the district of Kalahandi.,Construction of road from Lohajore to Dangriguda via Dhamankhunti Panimunda under CMRL in the district of Kalahandi.,Please refer Tender documents. ,NA ,"4,68,56,000",Civil Works - Roads,NA ,Tender,90.0,365.0,KESINGA/KALAHANDI,766012.0,NA ,NA ,NA ,"O/O THE C.C.E.R.W.CIRCLE, BHAWANIPATNA",No ,No,18-Mar-2023 06:00 PM,04-Apr-2023 11:00 AM,18-Mar-2023 06:00 PM,03-Apr-2023 05:00 PM,18-Mar-2023 06:00 PM ,31-Mar-2023 05:00 PM ,18-Mar-2023 06:00 PM,03-Apr-2023 05:00 PM,08-May-2023 11:00 AM,"10,000",0.0,Nil,Nil,No,"4,68,560",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,2108993,DEMANTI AGRAWAL,03-Apr-2023 03:18 PM,Rejected-AOC,NOT SELECTED LOTTERY,28-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work in hand, ATO, Similar nature of work, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2109011,KASHINATH MOHARANA,03-Apr-2023 04:03 PM,Accepted-AOC,SELECTED LOTTERY,28-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2108703,MAHABIR INFRA,03-Apr-2023 03:37 PM,Rejected-AOC,NOT SELECTED LOTTERY,28-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2108484,Raghunandan Agrawal,03-Apr-2023 04:39 PM,Rejected-AOC,NOT SELECTED LOTTERY,28-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2108905,SANDEEP ALOK BHOI,03-Apr-2023 03:24 PM,Rejected-AOC,NOT SELECTED LOTTERY,28-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2108393,SURESH AGRAWAL AND CO,02-Apr-2023 06:33 PM,Rejected-AOC,NOT SELECTED LOTTERY,28-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2107952,UTKAL KUMAR SHUKLA,03-Apr-2023 02:44 PM,Rejected-Technical,Disqualified,29-Apr-2023 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
