S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,25-Oct-2022 11:00 AM,10-Nov-2022 12:00 PM,25-Oct-2022 11:00 AM,09-Nov-2022 05:00 PM,NA ,NA ,25-Oct-2022 11:00 AM,09-Nov-2022 05:00 PM,"6,000",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,Construction of Fixed Vision Center (FVC) Sunetra at CHC Dasamanthpur under UEHP Scheme during the year 2022-23,Civil Works,Please refer Tender documents. ,NA ,"12,90,000",Civil Works - Buildings,Buildings ,Tender,90.0,90.0,Dasamanthpur,764043.0,NA ,NA ,NA ,"Office of the S.E R and B Division, Koraput",No ,No,"S.E, R and B Division, Koraput","S.E R and B Division, Koraput",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,S.E (R and B) KPT - 10 / 2022-23,2022_EICCL_82343_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online copy of tender cost and RC PAN Card, GSTIN and Affidavit and other documents.",AOC,SUPERINTENDING ENGINEER,Internal,"AE ESTIMATOR, AEE ESTIMATOR and DAO KORAPUT R and B DIVISION",Satya Narayan Khura,05-Jun-2023 12:47 PM,finsummary_413693.pdf (349.91 KB),Finance,Four nos. of tenderers documents opened,Satya Narayan Khura,05-Jun-2023 12:42 PM,finance_413693.pdf,BOQ Comparative Chart,05-Jun-2023,"INR 1,096,743",90.0,Satya Narayan Khura,05-Jun-2023 12:48 PM,AOCDMP.pdf (527.00 KB),AWARD OF CONTRACT,1,1973858,DEBABRATA ROUT,08-Nov-2022 10:02 PM,Accepted-AOC,The bidder has been selected as per transparent lottery system 1st lowest,05-Jun-2023 12:48 PM,1.0,1973858.0,DEBABRATA ROUT,INR,"1,096,743",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,2022_EICCL_82343_1,S.E (R and B) KPT - 10 / 2022-23,Construction of Fixed Vision Center (FVC) Sunetra at CHC Dasamanthpur under UEHP Scheme during the year 2022-23,SUPERINTENDING ENGINEER,Internal,"AE ESTIMATOR, AEE ESTIMATOR and DAO KORAPUT R and B DIVISION",Satya Narayan Khura,05-Jun-2023 12:44 PM,techsummary_413693.pdf (207.02 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,2,1975081,FAHIM AKBAR KHAN,09-Nov-2022 04:41 PM,Rejected-Technical,Disqualified in technical evaluation,05-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,1974459,NAKUL BISOI,09-Nov-2022 12:45 PM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,05-Jun-2023 12:48 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,1971716,Tuna Kandhapan,05-Nov-2022 06:39 PM,Rejected-Finance,Disqualified in financial evaluation,05-Jun-2023 12:47 PM,,,,,,,,,,,,,,,,AOC
