Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage
Ashok Kumar Giri,Internal,K Behera S Mohapatra S Satpathy,Manoranjan Biswal,06-May-2023 11:35 AM,08-May-2023 10:00 AM,techsummary_433796.pdf (579.31 KB),1.0,2118896.0,Sunil Samal,INR,"17,153,416",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,2023_EICCL_87796_2,40 of 2022-2023,"Repair and Renovation of SDH Hindol under Ist., Phasde 5 T Transformation Ama Hospital Initiative in the District of Dhenkanal for the year 2022-2023.",Finance,Total 10 (TEN) Bids are Admmited,Manoranjan Biswal,08-May-2023 12:11 PM,,BOQ Comparative Chart,1,2122249,AMBUJA BHUSAN SETHY,25-Apr-2023 04:54 PM,Rejected-Technical,Disqalified as per the clause no 7 and 112 E of DTCN,06-May-2023 11:35 AM,Technical,Total 12 Nos Bidders found,Manoranjan Biswal,26-Apr-2023 08:36 PM,,Er. M.R.Biswal,Internal,Closed,Manoranjan Biswal,07-Jun-2023 10:54 AM,finsummary_433796.pdf (47.12 KB),07-Jun-2023,"INR 17,153,416",120.0,Manoranjan Biswal,07-Jun-2023 10:55 AM,COMMITTEE.pdf (47.00 KB),Closed,AOC,"2,02,000",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,40 of 2022-2023,2023_EICCL_87796_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE Dhenkanal R and B Division,SE Dhenkanal (R and B) Division,"Repair and Renovation of SDH Hindol under Ist., Phasde 5 T Transformation Ama Hospital Initiative in the District of Dhenkanal for the year 2022-2023.","Repair and Renovation of SDH Hindol under Ist., Phasde 5 T Transformation Ama Hospital Initiative in the District of Dhenkanal for the year 2022-2023.",Please refer Tender documents. ,NA ,"2,10,00,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Dhenkanal,759001.0,NA ,NA ,NA ,SE Dhenkanal R and B Division,No ,No,12-Apr-2023 10:00 AM,26-Apr-2023 11:00 AM,12-Apr-2023 10:00 AM,25-Apr-2023 05:00 PM,NA ,NA ,12-Apr-2023 10:00 AM,25-Apr-2023 05:00 PM,08-May-2023 10:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Change in EMD,Fee,,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2120029,AMRIT PRADHAN,23-Apr-2023 10:21 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2120926,Ashok Kumar sahu,24-Apr-2023 12:55 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2122235,ASHOK KUMAR SATPATHY,25-Apr-2023 04:42 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2120438,JAYACHANDRA PRADHAN,23-Apr-2023 10:40 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2122015,Laxmikant Rout,25-Apr-2023 01:30 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2122097,PULAK NANDA,25-Apr-2023 02:40 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2122064,RABINARAYAN SETHI,25-Apr-2023 03:57 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2119917,Sakti Prasad Parida,23-Apr-2023 12:21 PM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2121834,SANTOSH PATTANAIK,25-Apr-2023 11:39 AM,Rejected-Finance,Rejected,07-Jun-2023 10:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
