S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,2130096.0,JITENDRA KUMAR BHANJA,INR,"1,000,000",Municipal Bodies||Khordha Municipality,2023_ORULB_88116_12,KMPLTY/ 02/2023-24,Construction of Drain at Mangala Nagar in Ward No 11,Technical,opened,Nihar Ranjan Sahu,09-May-2023 11:18 AM,technical_434937.pdf,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,26-Jun-2023 12:44 PM,finsummary_434937.pdf (375.98 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:24 AM,12-May-2023 09:30 AM,techsummary_434937.pdf (522.34 KB),Finance,OK,Rizwana Kawkab,12-May-2023 10:57 AM,,BOQ Comparative Chart,1,2130096,JITENDRA KUMAR BHANJA,04-May-2023 03:35 PM,Accepted-AOC,DUE TO L1,26-Jun-2023 12:50 PM,26-Jun-2023,"INR 1,000,000",60.0,Rizwana Kawkab,26-Jun-2023 12:50 PM,IMG_20230626_0003.pdf (488.00 KB),AOC,Construction of Drain at Mangala Nagar in Ward No 11,Construction of Drain at Mangala Nagar in Ward No 11,Please refer Tender documents. ,NA ,"8,47,537",Civil Works - Others,NA ,Tender,120.0,60.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,1,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN","4,000",0.0,Nil,Nil,No,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,1,ICICI BANK,"8,475",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:30 AM,1.0,OPENING DATE EXTENSION,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2130105,SANDIP KUMAR BARMAN,04-May-2023 03:59 PM,Rejected-Finance,DUE TO L2,26-Jun-2023 12:44 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
