Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
KID-222 of 2022-23 Protection to scoured bank of C.E.No.44 A Nuna left embankment from RD 32.300 Km to 32.500 Km.,Canal work,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o the SE, Kendrapara Irr. Division, Kendrapara",No ,No,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,e-Procurement Notice No.KID-06 of 2022-23,2023_ECCHA_87110_56,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN, Contractor Registration Certificate",20-Mar-2023 05:00 PM,31-Mar-2023 11:00 AM,20-Mar-2023 05:00 PM,29-Mar-2023 05:00 PM,20-Mar-2023 05:00 PM ,25-Mar-2023 05:00 PM ,20-Mar-2023 05:00 PM,29-Mar-2023 05:00 PM,1.0,ICICI BANK,Superintending Engineer,"O/o the SE, Kendrapara Irr. Division, Kendrapara","27,500",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,AOC,1,2104036,ANSHUMAN TRIPATHY,26-Mar-2023 02:48 PM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,10-Jun-2023,"INR 2,752,092",90.0,Umesh Chandra Sethi,11-Jun-2023 11:15 PM,222.pdf (594.00 KB),Contract Awarded,Superintending Engineer Kendrapara Irrigation Division,Internal,Estimator and DAO Kendrapara Irrigation Division,Umesh Chandra Sethi,24-Apr-2023 04:12 PM,techsummary_431703.pdf (210.20 KB),Superintending Engineer Kendrapara Irrigation Division,Internal,Estimator and DAO Kendrapara Irrigation Division,Umesh Chandra Sethi,24-Apr-2023 07:50 PM,finsummary_431703.pdf (166.67 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,2023_ECCHA_87110_56,e-Procurement Notice No.KID-06 of 2022-23,KID-222 of 2022-23 Protection to scoured bank of C.E.No.44 A Nuna left embankment from RD 32.300 Km to 32.500 Km.,1.0,2104951.0,BISWA PRAKASH BEHERA,INR,"2,752,092",Finance,Tender documents of all the bidders have been downloaded successfully.,Umesh Chandra Sethi,31-Mar-2023 11:08 PM,finance_431703.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other document as per SBD/DTCN",,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,AOC,2,2106766,Ashutosh Patra,29-Mar-2023 01:55 PM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2106572,ASIT KUMAR BHADRA,29-Mar-2023 10:21 AM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2104832,BALSRI K KUMAR AVIJIT,27-Mar-2023 04:10 PM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2103522,BHAGYAJYOTI SWAIN,25-Mar-2023 01:28 PM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2104780,bijaya kumar senapati,29-Mar-2023 06:17 AM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2106531,BIKASH KUMAR PATRA,29-Mar-2023 01:50 PM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2106507,BIRENDRA SAHOO,29-Mar-2023 11:17 AM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2104951,BISWA PRAKASH BEHERA,27-Mar-2023 05:34 PM,Accepted-AOC,Won the lottery,11-Jun-2023 11:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2104437,DEEPAK KUMAR NAYAK,27-Mar-2023 08:13 PM,Rejected-Finance,Did not win the lottery,24-Apr-2023 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
