Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Hemanta Kumar Sahoo,Internal,EO ME JE,SAMPAD KUMAR SWAIN,11-Oct-2022 05:09 PM,techsummary_406179.pdf (51.22 KB),05-Jun-2023,"INR 1,092,982.4",90.0,Sushil Kumar Behera,05-Jun-2023 01:51 PM,AOCDETAILS.pdf (341.00 KB),THE BIDDER WAS SELECTED THROUGH TRANSPARENCY LOTTERY PROCESS,1,1908439,Bairagi Rout,30-Jul-2022 08:39 PM,Rejected-AOC,NON APPLICABLE BIDDER,05-Jun-2023 01:54 PM,1.0,1909356.0,PRADEEP BEHERA,INR,"1,092,982.4",Finance,OK,SAMPAD KUMAR SWAIN,11-Oct-2022 05:07 PM,,BOQ Comparative Chart,HEMANT KUMAR SAHOO CP,Internal,EO ME JE,Sushil Kumar Behera,05-Jun-2023 01:44 PM,finsummary_406179.pdf (461.27 KB),Municipal Bodies||Pattamundai Municipality,2022_ORULB_79953_18,PM-04/2022-23,Improve of road near Babaji Bharat house towards Bijaya Mahanta house,AOC,Improve of road near Babaji Bharat house towards Bijaya Mahanta house,Improve of road near Babaji Bharat house towards Bijaya Mahanta house,Please refer Tender documents. ,NA ,"12,85,710",Civil Works - Others,NA ,Tender,90.0,60.0,Executive Officer Pattamundai Municipality,754215.0,NA ,NA ,NA ,Office of the Municipality Pattamundai,No ,No,0.0,No,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,21-Jul-2022 05:00 PM,02-Aug-2022 11:00 AM,21-Jul-2022 05:00 PM,01-Aug-2022 05:00 PM,21-Jul-2022 05:00 PM ,30-Jul-2022 05:00 PM ,21-Jul-2022 05:00 PM,01-Aug-2022 05:00 PM,Executive Officer Pattamundai Municipality,Pattamundai,Municipal Bodies||Pattamundai Municipality,PM-04/2022-23,2022_ORULB_79953_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Document as per DTCN,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,1908310,BIPAD BHANJAN MALIK,30-Jul-2022 05:13 PM,Rejected-AOC,NON APPLICABLE BIDDER,05-Jun-2023 01:54 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,1909356,PRADEEP BEHERA,01-Aug-2022 11:39 AM,Accepted-AOC,L1,05-Jun-2023 01:54 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,1909069,SAURI BEHERA,31-Jul-2022 09:30 PM,Rejected-AOC,L2,05-Jun-2023 01:54 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
