Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Chief Construction Engineer, R.W.Circle, Bolangir","O/o Chief Construction Engineer, R.W.Circle, Bolangir",04-Mar-2023 11:40 AM,20-Mar-2023 11:00 AM,04-Mar-2023 11:40 AM,18-Mar-2023 05:00 PM,04-Mar-2023 11:40 AM ,17-Mar-2023 05:00 PM ,04-Mar-2023 11:40 AM,18-Mar-2023 05:00 PM,29-Apr-2023 10:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-25/2022-23,2023_CERWI_86708_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of road from Babupali to Birmaharajpur Block Boundary under CMRL in the district of Subarnapur for the year 2022-23,Construction of road from Babupali to Birmaharajpur Block Boundary under CMRL in the district of Subarnapur for the year 2022-23,Please refer Tender documents. ,NA ,"1,87,44,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the C.C.E.R.W.Circle, Bolangir",No ,No,"1,87,440",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",AOC,1.0,2098963.0,MANABHANJAN PUROHIT,INR,"15,933,926",CE RW I||RWCIRCLE-BALANGIR,2023_CERWI_86708_2,BLGR-Online-25/2022-23,Construction of road from Babupali to Birmaharajpur Block Boundary under CMRL in the district of Subarnapur for the year 2022-23,D K Seth,Internal,,Debendra Kumar Seth,21-Apr-2023 01:59 PM,29-Apr-2023 10:00 AM,techsummary_430450.pdf (602.34 KB),12-Jun-2023,"INR 15,933,926",180.0,Debendra Kumar Seth,12-Jun-2023 02:28 PM,Babupali.pdf (1383.00 KB),1st lowest,D K SETH,Internal,,Debendra Kumar Seth,12-Jun-2023 02:26 PM,finsummary_430450.pdf (404.13 KB),Technical,Technical bids are opened,Debendra Kumar Seth,20-Mar-2023 01:36 PM,technical_430450.pdf,1,2100118,AMAN ULLA KHAN,17-Mar-2023 09:32 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,Finance,Financial bids are opening,Subhrata Meher,29-Apr-2023 10:46 AM,finance_430450.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, Similar Nature of Work, Machineries and others documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2099811,Hemraj Jain,17-Mar-2023 11:41 AM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2095727,Kusha Kumar Sahu,15-Mar-2023 01:44 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2098963,MANABHANJAN PUROHIT,15-Mar-2023 12:24 PM,Accepted-AOC,1st lowest,12-Jun-2023 02:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2100165,MOTIRANJAN SAHOO,17-Mar-2023 09:08 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2098510,RAJENDRA KUMAR CHAND,17-Mar-2023 08:03 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2100499,RAJESH KUMAR MAHANA,18-Mar-2023 04:32 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2099791,Ramnarayan Mishra,17-Mar-2023 09:34 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2099874,Sachin Agarwal,18-Mar-2023 12:06 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2099638,SHREE BISWAKARMA INFRA,17-Mar-2023 03:13 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:26 PM,,,,,,,AOC
