Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Er Shankar Prasad Kalamuri,Internal,,SHANKAR PRASAD KALMURI,18-Apr-2023 12:37 PM,18-Apr-2023 12:45 PM,techsummary_431960.pdf (896.92 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",2023_CEMIB_87171_6,12 MID JSP 2022-23,Construction of Kudahansa-II Check Dam over Local nalla near village Kudahansa in Jamda Block of Mayurbhanj District.,1.0,2108218.0,RAJ PRATAP SINGH,INR,"5,364,734",1,2109141,BIKRAM TUDU,03-Apr-2023 04:55 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,Technical,All are accepted,SHANKAR PRASAD KALMURI,18-Apr-2023 12:29 PM,,Finance,All bidders are accepted,SHANKAR PRASAD KALMURI,19-Apr-2023 09:08 AM,,BOQ Comparative Chart,09-May-2023,"INR 5,364,734",120.0,SHANKAR PRASAD KALMURI,07-Jun-2023 10:54 AM,Kudahansa-2.pdf (897.00 KB),Er. Shankar Prasad Kalamuri,Internal,,SHANKAR PRASAD KALMURI,19-Apr-2023 12:30 PM,finsummary_431960.pdf (695.10 KB),AOC,1.0,ICICI BANK,Construction of Kudahansa-II Check Dam over Local nalla near village Kudahansa in Jamda Block of Mayurbhanj District.,Construction of Kudahansa-II Check Dam over Local nalla near village Kudahansa in Jamda Block of Mayurbhanj District.,Only B ,NA ,"63,10,710",Civil Works - Others,Check Dam ,Tender,90.0,120.0,Jamda,757045.0,NA ,NA ,NA ,"O/O SE M.I. Division, Jashipur",No ,No,23-Mar-2023 10:00 AM,04-Apr-2023 11:00 AM,23-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,23-Mar-2023 10:00 AM ,31-Mar-2023 05:00 PM ,23-Mar-2023 10:00 AM,03-Apr-2023 05:00 PM,18-Apr-2023 12:45 PM,"10,000",0.0,Nil,Nil,No,"63,200",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",12 MID JSP 2022-23,2023_CEMIB_87171_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST PAN RC Affidavit, Litigation NO Relation Certificate..etc","SE M.I. Division, Jashipur","O/O SE M.I. Division, Jashipur",AOC
,,,,,,,,,,,,,,,,2,2109110,BIRENDRA BEHERA,03-Apr-2023 04:37 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,3,2109006,CHANDRA SHEKHAR MOHAKUD,03-Apr-2023 03:21 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2108162,DAMAN MAJHI,01-Apr-2023 09:18 AM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2109033,FULSAI DAMAN MARANDI,03-Apr-2023 03:43 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2108107,GAURANGA KUMAR KAR,31-Mar-2023 08:59 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2108344,KANHU MURMU,02-Apr-2023 01:22 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2107728,KISHORE KUMAR RAJAK,31-Mar-2023 09:42 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2109037,Manas Ranjan Panda,03-Apr-2023 04:03 PM,Rejected-AOC,Unsuccessful,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2108218,RAJ PRATAP SINGH,01-Apr-2023 04:32 PM,Accepted-AOC,Winner in Lotter Process,07-Jun-2023 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
