Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Restoration to RFB of river Rushikulya near village Laxmipur (Stone packing).,Restoration to RFB of river Rushikulya near village Laxmipur (Stone packing).,Please refer Tender documents. ,NA ,"8,80,612",Civil Works - Others,NA ,Tender,90.0,90.0,Aska,761110.0,NA ,NA ,NA ,"S.E., Bhanjanagar Irrigation Division, Bhanjanagar",No ,No,"S.E., Bhanjanagar Irrigation Division, Bhanjanagar","O/o the SE, Bhanjanagar Irr. Divn., Bhanjanagar, Pin No-761126",17-Apr-2023 10:00 AM,27-Apr-2023 11:00 AM,17-Apr-2023 10:00 AM,26-Apr-2023 05:00 PM,NA ,NA ,17-Apr-2023 10:00 AM,26-Apr-2023 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost,Valid Register License of Contractor,PAN CARD, GSTIN,EMD","4,000",0.0,Nil,Nil,No,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",e-procurement Notice No. e-BNID-01/2023-24,2023_CEBMB_87890_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,900",Yes,fixed,,Nil,Nil,AOC,03-Jun-2023,"INR 748,608",90.0,Gokula Chandra Padhi,03-Jun-2023 10:38 AM,AOC-30.PDF (121.00 KB),The date of commencement of the work is on dated 08.05.2023 and stipulated date of completion on dated 07.08.2023 vide Agreement No.08P1/2023-24.,1,2121681,BIKRAM KUMAR PRADHAN,25-Apr-2023 07:27 AM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,26-May-2023 07:20 PM,techsummary_434353.pdf (83.12 KB),Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,30-May-2023 06:18 PM,finsummary_434353.pdf (95.97 KB),"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",2023_CEBMB_87890_30,e-procurement Notice No. e-BNID-01/2023-24,Restoration to RFB of river Rushikulya near village Laxmipur (Stone packing).,1.0,2119677.0,Shyam Sundar Padhy,INR,"748,608",Finance,Thirteen (13) number of bidders are successful downloaded.,Anita Das,27-Apr-2023 06:31 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit,Other document as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2122523,Bimal Kumar Pradhan,25-Apr-2023 08:56 PM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2122504,DEBARAJ BHUYAN,25-Apr-2023 08:18 PM,Rejected-Technical,Licenses not Valid,26-May-2023 07:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2122785,MAHESWAR SAHU,26-Apr-2023 04:57 PM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2119511,MANORANJAN GOUDA,22-Apr-2023 06:03 PM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2119061,Pabitra Kumar Muni,23-Apr-2023 11:21 AM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2119539,Pabitra Mohan Bisoyi,22-Apr-2023 08:02 PM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2120025,Prabhakar Padhi,24-Apr-2023 09:26 PM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2119897,Rojalini Bisoyi,23-Apr-2023 01:20 PM,Rejected-AOC,Not Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2119677,Shyam Sundar Padhy,23-Apr-2023 09:53 AM,Accepted-AOC,Successful in Lottery,03-Jun-2023 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
