Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Bid has Opened,Saroj Kumar Satapathy,13-Dec-2022 04:32 PM,technical_418743.pdf,SURESH_CHANDRA_ROUT,Internal,PRATIK_KUMAR_ROUT_RESMA_KUJUR_ISWARCHANDRA_DHAMUNDIA_ARJUN_MATHO,Saroj Kumar Satapathy,27-Jun-2023 05:58 PM,finsummary_418743.pdf (492.63 KB),Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2022_RWSS_83635_2,BID No 29 of 2022-23,"Execution of RPWS to village Rengali, Banipali, Kusmel _Khaliapali, Gopalpur under Loisingha Block with 5 year Operation and maintenance.",27-Jun-2023,"INR 60,068,118",540.0,Saroj Kumar Satapathy,27-Jun-2023 06:02 PM,RENGALI.pdf (493.00 KB),L1 BIDDER HAS RESPOND,Finance,Financial bid has been opened,Saroj Kumar Satapathy,08-Feb-2023 04:31 PM,finance_418743.pdf,BOQ Comparative Chart,1.0,2010292.0,KANCHAN BEHERA,INR,"54,067,313",1,2007390,AMULYA KUMAR SAHOO,09-Dec-2022 03:41 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,EIC_RWSS_ODISHA,Internal,CE_RWSS_ODISHA_CE_RWSS_CIRCLE_BALANGIR_ACE_RWSS_ODISHA_SE_RWSS_DIVISION_BALANGIR,Saroj Kumar Satapathy,08-Feb-2023 12:25 PM,08-Feb-2023 03:00 PM,techsummary_418743.pdf (330.02 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, GST, PAN, Contractor Register certificate , Experience certificate etc.","10,000",0.0,Nil,Nil,Yes,29-Nov-2022 11:00 AM,13-Dec-2022 11:00 AM,29-Nov-2022 11:00 AM,12-Dec-2022 05:00 PM,NA ,NA ,29-Nov-2022 11:00 AM,12-Dec-2022 05:00 PM,08-Feb-2023 03:00 PM,"Execution of RPWS to village Rengali, Banipali, Kusmel _Khaliapali, Gopalpur under Loisingha Block with 5 year Operation and maintenance.","Execution of RPWS to village Rengali, Banipali, Kusmel _Khaliapali, Gopalpur under Loisingha Block with 5 year Operation and maintenance.",Please refer DTCN ,NA ,"6,00,68,118",Civil Works - Water Works,WATER SUPPLY ,Tender,180.0,540.0,DIFFERENT VILLAGE OF LOISINGHA BLOCK,767020.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,0.0,No,fixed,,Nil,Nil,O/o Superintending Engineer RWSS Division Balangir,O/o Superintending Engineer RWSS Division Balangir,1.0,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID No 29 of 2022-23,2022_RWSS_83635_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2008450,BAC CONSTRUCTION AND ENGINEERING PVT LTD,10-Dec-2022 07:04 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,.pdf,Other document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2008097,BIKRAM KUMAR GUPTA,12-Dec-2022 02:09 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2010411,Haresh Kumar Agrawal,12-Dec-2022 02:42 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2010292,KANCHAN BEHERA,12-Dec-2022 02:10 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2009849,KAPIL CONSTRUCTION CO.,12-Dec-2022 12:26 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2010664,KNR CONSTRUCTIONS KHAMMAM,12-Dec-2022 04:38 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2008668,KUBER CONSTRUCTION CO,11-Dec-2022 09:15 AM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2007374,Manoj Kumar Gupta,11-Dec-2022 10:37 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2009821,MANORAMA SASAMALA,12-Dec-2022 12:07 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,27-Jun-2023 06:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
