Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"37,730",Yes,percentage,1.0%,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||NAYAGARH Block,NGRBlock/2023/01,2023_PRNY_85675_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,New Construction of Day Care Sub Centre cum Health Wellness Centre at Lenkudipada,New Construction of Day Care Sub Centre cum Health Wellness Centre at Lenkudipada,Please refer Tender documents. ,NA ,"37,72,993",Civil Works - Others,NA ,Tender,180.0,180.0,NAYAGARH,752069.0,NA ,NA ,NA ,NAYAGARH BLOCK,No ,No,BDO NAYAGARH,BDO NAYAGARH,1.0,Fee Corrigendum,Fee,,1.0,ICICI BANK,04-Feb-2023 11:00 AM,15-Feb-2023 11:00 AM,04-Feb-2023 11:00 AM,14-Feb-2023 05:00 PM,NA ,NA ,04-Feb-2023 11:00 AM,14-Feb-2023 05:00 PM,"6,000",Nil,Nil,No,AOC,1.0,2078790.0,SUSANTA KUMAR NAYAK,INR,"3,772,993.36",05-Jun-2023,"INR 3,772,993.36",180.0,Padma Charan Shaoo,04-Jun-2023 08:37 PM,Workorder.pdf (2059.00 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||NAYAGARH Block,2023_PRNY_85675_4,NGRBlock/2023/01,New Construction of Day Care Sub Centre cum Health Wellness Centre at Lenkudipada,"Padma Charan Sahoo,BDO Nayagarh",Internal,,Padma Charan Shaoo,04-Jun-2023 08:27 PM,finsummary_427003.pdf (940.76 KB),"Padma Charan Sahoo,BDO Nayagarh",Internal,,Padma Charan Shaoo,04-Jun-2023 08:15 PM,techsummary_427003.pdf (940.76 KB),1,2078417,AMIT KUMAR PRUSTY,14-Feb-2023 01:12 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,Finance,16 number of bidder accepted.,Padma Charan Shaoo,31-May-2023 07:12 PM,,BOQ Comparative Chart,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TECHNICAL BID OPENING DATE CHANGE,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2078635,BIBHUTI BHUSANA PARIDA,14-Feb-2023 03:15 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2078601,CHANDAN BEHERA,14-Feb-2023 02:27 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2078492,DIBAKAR BEHERA,14-Feb-2023 01:29 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2078478,DILLIP KUMAR TRIPATHY,14-Feb-2023 01:14 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2078304,HARAMOHAN MALLICK,14-Feb-2023 11:22 AM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2078436,JYOSNARANI PATRA,14-Feb-2023 02:22 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2078811,KISHORE CHANDRA MOHAPATRA,14-Feb-2023 04:41 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2075734,LAXMIRANI SAHOO,13-Feb-2023 04:10 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2078683,MAHESH MISHRA,14-Feb-2023 03:26 PM,Rejected-AOC,Not selected lottery system,04-Jun-2023 08:45 PM,,,,,,,AOC
