S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
1.0,2126875.0,SUBRATA DAS,INR,"470,376.22",Laxman Mahanta,Internal,"JE,ME,EO",Abhishek Panda,28-Jun-2023 04:02 PM,finsummary_433993.pdf (1038.86 KB),Technical,open,Abhishek Panda,05-May-2023 12:06 PM,technical_433993.pdf,Municipal Bodies||Barbil Municipality,2023_ORULB_87484_66,BBLM-1/2023-24,"Laying of paver block on the public premises of Muktiar Khana of Barbil Tahasil, ward No.15",Finance,Open,Abhishek Panda,18-May-2023 05:45 PM,finance_433993.pdf,BOQ Comparative Chart,Laxman Mahanta,Internal,"JE,ME,EO,Accountant",Abhishek Panda,16-May-2023 05:53 PM,16-May-2023 05:55 PM,techsummary_433993.pdf (11332.12 KB),28-Jun-2023,"INR 470,376.22",45.0,Abhishek Panda,28-Jun-2023 04:04 PM,66.pdf (510.00 KB),Contact value excluding GST,1,2126880,RAJAT KUMAR DAS,30-Apr-2023 11:02 AM,Rejected-Finance,Second,28-Jun-2023 04:02 PM,AOC,"4,830",Yes,percentage,1.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Document as per Detail Tender Call Notice,18-Apr-2023 10:00 AM,03-May-2023 11:00 AM,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,NA ,NA ,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,16-May-2023 05:55 PM,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,"Laying of paver block on the public premises of Muktiar Khana of Barbil Tahasil, ward No.15","Laying of paver block on the public premises of Muktiar Khana of Barbil Tahasil, ward No.15",Please refer Tender documents. ,NA ,"4,83,000",Civil Works - Others,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality Office,No ,No,Municipal Bodies||Barbil Municipality,BBLM-1/2023-24,2023_ORULB_87484_66,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2126875,SUBRATA DAS,30-Apr-2023 10:43 AM,Accepted-AOC,Lowest,28-Jun-2023 04:04 PM,AOC,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
