S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,1858153.0,DEEPAK KUMAR ACHARYA,INR,"5,038,243",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2022_EICCL_77957_1,TCN No 9 of 2022-23,P/R to Siruli Dobandha road from 0/00 to 4/00 for the year 2022-23,ER.Ajit Prasad Mohapatra,Internal,Sri Bikram Keshari Pattanaik Smt. Smita Pal,Ajit Prasad Mohapatra,11-Jul-2022 02:14 PM,11-Jul-2022 03:00 PM,techsummary_399942.pdf (468.23 KB),21-Jun-2023,"INR 5,038,243.38",60.0,Ajit Prasad Mohapatra,21-Jun-2023 05:37 PM,AOC.pdf (502.00 KB),The bidder won the transparency lottery among the bidder so that the work has been awarded to him,ER. Ajit Prasad Mohapatra,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Ajit Prasad Mohapatra,21-Jun-2023 05:30 PM,finsummary_399942.pdf (397.72 KB),1,1858702,AJAY KUMAR MALLICK,31-May-2022 04:37 PM,Rejected-AOC,Rejected,21-Jun-2023 05:38 PM,Technical,Total 14 Nos bidders are participated in the online tender,Ajit Prasad Mohapatra,01-Jun-2022 07:32 PM,,Finance,Total 11 Nos bidder are admitted,Smita Pal,12-Jul-2022 05:28 PM,,BOQ Comparative Chart,AOC,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 9 of 2022-23,2022_EICCL_77957_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,P/R to Siruli Dobandha road from 0/00 to 4/00 for the year 2022-23,P/R to Siruli Dobandha road from 0/00 to 4/00 for the year 2022-23,Please refer Tender documents. ,NA ,"59,26,648",Civil Works - Roads,NA ,Tender,90.0,60.0,pur,752001.0,NA ,NA ,NA ,"O/o the S.E. R and B Division, Puri",No ,No,Er Ajit Prasad Mohapatra,"O/o the S.E. R and B Division, Puri",1.0,ICICI BANK,"59,266",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,24-May-2022 06:05 PM,01-Jun-2022 11:30 AM,24-May-2022 06:05 PM,31-May-2022 05:00 PM,NA ,NA ,24-May-2022 06:05 PM,31-May-2022 05:00 PM,11-Jul-2022 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GSTN,COST OF TENDER PAPER, BID SECURITY DECLARATION ETC",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1858557,AMULYA BISWAL,31-May-2022 04:29 PM,Rejected-AOC,Rejected,21-Jun-2023 05:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANRITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1858690,ASIT KUMAR BISWAL,31-May-2022 04:39 PM,Rejected-Technical,The bidder has not fulfil the minimum eligibility criteria,11-Jul-2022 02:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1856941,BHABANI SANKAR MALLIA,31-May-2022 12:34 PM,Rejected-AOC,Rejected,21-Jun-2023 05:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1854248,BIRAJA MAHIMA PANIGRAHI,29-May-2022 12:20 AM,Rejected-AOC,Rejected,21-Jun-2023 05:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1858153,DEEPAK KUMAR ACHARYA,31-May-2022 02:04 PM,Accepted-AOC,The bidder won the transparency lottery among the bidder so that the work has been awarded to him,21-Jun-2023 05:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1855647,Durga Prasanna Rath,31-May-2022 10:19 AM,Rejected-AOC,Rejected,21-Jun-2023 05:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1855216,DURYODHAN SAMANTARAY,30-May-2022 07:23 AM,Rejected-AOC,Rejected,21-Jun-2023 05:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1858244,LAXMAN KUMAR PAL,31-May-2022 02:29 PM,Rejected-Technical,The bidder has not fulfil the minimum eligibility criteria,11-Jul-2022 02:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1858701,NARAYAN BHOI,31-May-2022 04:39 PM,Rejected-AOC,Rejected,21-Jun-2023 05:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
