Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","Development of 4 nos Smart Class Room and Painting of OLD building and Minor Repairing at Sushilavati GOVT.Womens College RMC,Rourkela",Works,Please refer Tender documents. ,NA ,"36,64,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, Paper Cost and other documents as per DTCN",28-Apr-2023 06:00 PM,09-May-2023 10:00 AM,28-Apr-2023 06:00 PM,08-May-2023 05:00 PM,NA ,NA ,28-Apr-2023 06:00 PM,08-May-2023 05:00 PM,"36,640",Yes,fixed,,Nil,Nil,Rourkela Municipal Corporation,MC/RMC/05/2023,2023_RMC_88503_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,ICICI BANK,AOC,Commissioner,External,"Dy. Commissioner, Executive Engineer I, Executive Engineer II, Audit Officer",Manas Biswal,26-Jun-2023 12:44 PM,techsummary_436100.pdf (2603.30 KB),1,2131511,BAISHNAB CHARAN BEHERA,07-May-2023 09:38 PM,Accepted-AOC,By The Tender Committee,26-Jun-2023 04:22 PM,Finance,Opened,Manas Biswal,26-Jun-2023 11:43 AM,finance_436100.pdf,BOQ Comparative Chart,1.0,2131511.0,BAISHNAB CHARAN BEHERA,INR,"3,268,518.16",26-Jun-2023,"INR 3,268,518.16",60.0,Manas Biswal,26-Jun-2023 04:21 PM,MCM5.pdf (2603.00 KB),AOC,Rourkela Municipal Corporation,2023_RMC_88503_18,MC/RMC/05/2023,"Development of 4 nos Smart Class Room and Painting of OLD building and Minor Repairing at Sushilavati GOVT.Womens College RMC,Rourkela",Commissioner,External,"Dy. Commissioner, Executive Engineer I, Executive Engineer II, Audit Officer",Manas Biswal,26-Jun-2023 03:57 PM,finsummary_436100.pdf (2603.30 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,2132406,DEBENDRA SWAIN,07-May-2023 11:18 AM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2132308,DURGA PRASAD JENA,08-May-2023 10:14 AM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2134142,DUSHMANTA KUMAR PATRA,08-May-2023 04:39 PM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2132504,HEMA MINZ,07-May-2023 12:50 PM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2133211,LALIT CONSTRUCTION,08-May-2023 11:04 AM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2131711,MITRA SEKHAR PARIDA,06-May-2023 01:36 PM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2130563,M/s EASTERN INFRASTRUCTURES PRIVATE LIMITED,05-May-2023 11:59 AM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2132072,NIRMAL CHANDRA BARAL,06-May-2023 05:43 PM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2133603,PRADEEP PATRA,08-May-2023 01:33 PM,Rejected-Technical,By The Tender Committee,26-Jun-2023 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
