Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Municipal Bodies||Barbil Municipality,BBLM-1/2023-24,2023_ORULB_87484_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Laying of floor tile of 1st floor, 2nd floor and 3rd floor at Poura Bhawan, ward No.15","Laying of floor tile of 1st floor, 2nd floor and 3rd floor at Poura Bhawan, ward No.15",Please refer Tender documents. ,NA ,"4,99,700",Civil Works - Others,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality office,No ,No,"4,997",Yes,percentage,1.0%,Nil,Nil,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,18-Apr-2023 10:00 AM,03-May-2023 11:00 AM,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,NA ,NA ,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,16-May-2023 09:00 AM,1,Fee/PreQual/Technical,.pdf,Document as per Detail Tender Call Notice,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,AOC,Laxman Mahanta,Internal,"JE,ME,Eo",Abhishek Panda,30-Jun-2023 01:18 PM,finsummary_433789.pdf (1509.66 KB),Technical,Opened,Abhishek Panda,03-May-2023 06:30 PM,technical_433789.pdf,Municipal Bodies||Barbil Municipality,2023_ORULB_87484_12,BBLM-1/2023-24,"Laying of floor tile of 1st floor, 2nd floor and 3rd floor at Poura Bhawan, ward No.15",1.0,2128144.0,NS TRANSPORT PROP NARESH KUMAR SINGH,INR,"486,733.76",1,2127061,Ananta Charan Rout,01-May-2023 07:38 AM,Rejected-Finance,Second,30-Jun-2023 01:18 PM,30-Jun-2023,"INR 486,733.76",45.0,Abhishek Panda,30-Jun-2023 01:20 PM,12.pdf (502.00 KB),Contact value excluding GST,Finance,Open,Abhishek Panda,20-May-2023 06:15 PM,finance_433789.pdf,BOQ Comparative Chart,Laxman Mahanta,Internal,"JE,ME,EO, Accountant",Abhishek Panda,15-May-2023 12:58 PM,16-May-2023 09:00 AM,techsummary_433789.pdf (11332.12 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,2,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2128144,NS TRANSPORT PROP NARESH KUMAR SINGH,02-May-2023 01:13 PM,Accepted-AOC,Lowest,30-Jun-2023 01:22 PM,,,,,,,,,,,,,,,,,,,,,AOC
