Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Finance,31 Nos Bidders Participated,K. Krishna Rao,02-Mar-2023 04:24 PM,,BOQ Comparative Chart,1.0,2093474.0,MS SIVA SANKAR ENGINEERING,INR,"3,382,853","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2023_CELBB_86355_25,e-Procurement Notice No.SEPRD-27/2022-23,(25) Construction of toe wall with strengthening to KSDR Embankment from RD 59.85 to 60.20 Km,"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,14-Apr-2023 11:23 AM,finsummary_429436.pdf (145.67 KB),"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,12-Apr-2023 05:48 PM,techsummary_429436.pdf (145.67 KB),1,2093247,ABINASH NAYAK,01-Mar-2023 01:17 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,26-Apr-2023,"INR 3,382,853",120.0,K. Krishna Rao,02-Jun-2023 06:58 PM,AOC_27_25.pdf (129.00 KB),The work has been awarded to M/S Siva Sankar Engineering,AOC,(25) Construction of toe wall with strengthening to KSDR Embankment from RD 59.85 to 60.20 Km,Construction of toe wall with strengthening to KSDR Embankment from RD 59.85 to 60.20 Km,Please refer Tender documents. ,NA ,"39,79,359",Civil Works - Others,NA ,Tender,90.0,120.0,Niali,754004.0,NA ,NA ,NA ,"S.E, Prachi Division, Bhubaneswar",No ,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",e-Procurement Notice No.SEPRD-27/2022-23,2023_CELBB_86355_25,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTC",20-Feb-2023 11:00 AM,02-Mar-2023 11:00 AM,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,20-Feb-2023 11:00 AM ,27-Feb-2023 05:00 PM ,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,"S.E, Prachi Division, Bhubaneswar","S.E, Prachi Division, Bhubaneswar","39,800",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2092699,AMIYA KUMAR MOHAPATRA,28-Feb-2023 06:16 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2093404,AUROBIND MALLICK,01-Mar-2023 02:54 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2093167,CHANDRAKANTA BEURA,01-Mar-2023 01:37 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2092799,DEBAKANTA MALLICK,28-Feb-2023 07:58 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2086965,DEEPARANI GOSWAMI,01-Mar-2023 04:14 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2092449,DIBYA RANJAN MOHANTY,28-Feb-2023 01:25 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2092855,JAYANTA RAY,28-Feb-2023 08:52 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2092475,LIPIKA SUBUDHI,28-Feb-2023 01:49 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2092394,M/S AKSHAYA KUMAR BEHERA,01-Mar-2023 03:14 PM,Rejected-Finance,Other than L1,14-Apr-2023 11:23 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
