EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,500",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SC RandB GM-II-02/2023-24,2023_EICCL_88097_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,Superintending Engineer,O/o S.E. Ganjam RandB Division No.II Hillpatna Berhampur-5,"4,000",0.0,Nil,Nil,No,20-Apr-2023 10:00 AM,03-May-2023 11:30 AM,20-Apr-2023 10:00 AM,02-May-2023 04:00 PM,20-Apr-2023 10:00 AM ,25-Apr-2023 04:00 PM ,20-Apr-2023 10:00 AM,02-May-2023 04:00 PM,Construction of Bio Medical waste Management at Khandadeuli CHC,Building work,Please refer Tender documents. ,NA ,"6,44,620",Civil Works - Buildings,NA ,Tender,90.0,90.0,Khandadeuli,760004.0,NA ,NA ,NA ,O/o S.E. Ganjam RandB Division No.II,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of tender paper EMD GSTIN Affidavit Regn cert. PAN other documents as per DTCN,AOC,Superintending Engineer,Internal,DAO and Estimator,Tapan Kumar Panigrahi,20-Jun-2023 07:07 PM,finsummary_434839.pdf (368.85 KB),Finance,Two nos of bidder participated and under scrutiny,Tapan Kumar Panigrahi,07-May-2023 01:42 PM,finance_434839.pdf,BOQ Comparative Chart,20-Jun-2023,"INR 644,620",90.0,Tapan Kumar Panigrahi,20-Jun-2023 07:09 PM,20230620070909.pdf (147.00 KB),Work awarded to Sri Ranjan Kumar Pradhan,1,2126006,Biduta Acharya,28-Apr-2023 08:31 PM,Rejected-AOC,Not qualify for agreement,20-Jun-2023 07:09 PM,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2023_EICCL_88097_8,SC RandB GM-II-02/2023-24,Construction of Bio Medical waste Management at Khandadeuli CHC,1.0,2125942.0,RANJAN KUMAR PRADHAN,INR,"547,992",Superintending Engineer,Internal,DAO and Estimator,Tapan Kumar Panigrahi,20-Jun-2023 07:04 PM,techsummary_434839.pdf (368.85 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,AOC,,,,,,,,,,,,,,,,,,,,2,2125942,RANJAN KUMAR PRADHAN,28-Apr-2023 07:32 PM,Accepted-AOC,Work awarded,20-Jun-2023 07:09 PM,,,,,,,,,,,,,,,,AOC
