S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,"Tender Fee EMD and valid PAN,licence copy GST Registration Certificate,other documents as per DTCN",Chief Finance Officer,"VIKASH BHAVAN, NAYAPALLI, BHUBANESWAR",H.L.Bridge over Sono on Balasore Mitrapur Baincha road toll gate.,H.L.Bridge over Sono on Balasore Mitrapur Baincha road toll gate.,PLEASE REFER TO TENDER DOCUMENTS ,NA ,"24,00,099",Toll Gate,NA ,Tender,90.0,365.0,Mitrapur,756019.0,NA ,NA ,NA ,"O/O THE EIC Cum MD, OB AND CC LTD, NAYAPALLI, BBSR",No ,No,19-Apr-2023 05:30 PM,04-May-2023 12:30 PM,19-Apr-2023 05:30 PM,04-May-2023 11:30 AM,NA ,NA ,19-Apr-2023 05:30 PM,04-May-2023 11:30 AM,11-May-2023 11:30 AM,Orissa Bridge and Construction Corporation Ltd,NO. 06/TOLL/OBCC/2023-24,2023_OBCC_88066_6,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,"1,20,005",No,fixed,,Nil,Nil,AOC,1.0,2129731.0,S & N ENTERPRISES,INR,"2,629,825",Finance,Single Bidder participate,Atulya Kumar Champatiray,11-May-2023 12:38 PM,,BOQ Comparative Chart,19-Jun-2023,"INR 2,629,825",365.0,Siba Sankar Patra,19-Jun-2023 01:39 PM,bmb.pdf (235.00 KB),Agreement executed,Technical,Single bidder participate,Atulya Kumar Champatiray,04-May-2023 01:33 PM,,"Chief General Manager,P and A",Internal,CFO Legal Associate Manager Finance,Siba Sankar Patra,19-Jun-2023 01:37 PM,finsummary_434777.pdf (185.46 KB),Orissa Bridge and Construction Corporation Ltd,2023_OBCC_88066_6,NO. 06/TOLL/OBCC/2023-24,H.L.Bridge over Sono on Balasore Mitrapur Baincha road toll gate.,1.0,2129731.0,S & N ENTERPRISES,04-May-2023 10:55 AM,Accepted-AOC,Agreement executed,19-Jun-2023 01:39 PM,"Chief General Manager,P and A",Internal,CFO Legal Associate Manager Finance,Siba Sankar Patra,10-May-2023 12:19 PM,11-May-2023 11:30 AM,techsummary_434777.pdf (226.46 KB),AOC
2,ICICI NEFT/RTGS,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
