Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BALASORE,SE(RandB)BLS-Divn-1-79/2022-23,2023_EICCL_87366_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Repair and Renovation of Soro CHC Building at Soro for the year 2022-23 under 5T ( Ama Hospital),Repair and Renovation of Soro CHC Building at Soro for the year 2022-23 under 5T ( Ama Hospital),"EMD, GSTIN, Valid RC, Affidavit and other connected documents as per DTCN ",NA ,,Civil Works - Buildings,NA ,Tender,90.0,120.0,Balasore,756001.0,NA ,NA ,NA ,"Superintending Engineer,Balasore(RandB)Division-I",No ,No,1.0,Fee/PreQual/Technical,.pdf,"EMD, GSTIN, Valid RC, Affidavit and other connected documents as per DTCN",06-Apr-2023 10:00 AM,21-Apr-2023 11:00 AM,06-Apr-2023 10:00 AM,20-Apr-2023 04:00 PM,NA ,NA ,06-Apr-2023 10:00 AM,20-Apr-2023 04:00 PM,26-Apr-2023 09:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"1,48,000",Yes,fixed,,Nil,Nil,"Superintending Engineer,Balasore(RandB)Division-I","At-Padhuanpada,Dist-Balasore",AOC,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BALASORE,2023_EICCL_87366_5,SE(RandB)BLS-Divn-1-79/2022-23,Repair and Renovation of Soro CHC Building at Soro for the year 2022-23 under 5T ( Ama Hospital),1.0,2116790.0,RAGHUNATH NAYAK,INR,"12,576,699.54",Superintending Engineer,Internal,"SE, DAO, AEE",Rama Chandra Sethi,25-Apr-2023 09:23 PM,26-Apr-2023 09:00 AM,techsummary_432850.pdf (224.40 KB),Superintending Engineer,Internal,"SE.DAO,AEE",Jyotiprakash Panda,12-Jun-2023 10:10 AM,finsummary_432850.pdf (465.88 KB),13-Jun-2023,"INR 14,794,376.6",120.0,Jyotiprakash Panda,12-Jun-2023 10:13 AM,ADC.pdf (466.00 KB),AOC,Finance,CS,Jyotiprakash Panda,26-Apr-2023 09:59 AM,finance_432850.pdf,BOQ Comparative Chart,Technical,Technical,Rama Chandra Sethi,25-Apr-2023 09:22 PM,technical_432850.pdf,1,2116825,Dinesh Kumar Nayak,19-Apr-2023 03:58 PM,Rejected-AOC,not qualified,12-Jun-2023 10:17 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2115309,JAGABANDHU SETHI,20-Apr-2023 12:56 PM,Rejected-AOC,not qualified,12-Jun-2023 10:17 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2116790,RAGHUNATH NAYAK,19-Apr-2023 07:07 PM,Accepted-AOC,lottery winner,12-Jun-2023 10:17 AM,AOC
