Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
ARABINDA ROUT,Internal,ACE ASST TO ACE SE CUTTACK DAO CUTTACK AEE,Arabinda Rout,18-Apr-2023 04:25 PM,19-Apr-2023 11:00 AM,techsummary_431103.pdf (463.03 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore",2023_CEMIB_86909_3,ACECMIC-05/2022-23,Repair to Budhideibandha MIP in Narsinghpur Block of Cuttack District under Repair Renovation and Restoration scheme for the year 2022-23,1.0,2108888.0,SRITAM KUMAR BASTYA,INR,"11,859,785",Finance,20 OUT OF 22 SELECTED FOR TRANSPARENT LOTTERY,Arabinda Rout,01-May-2023 04:05 PM,finance_431103.pdf,BOQ Comparative Chart,1,2109180,ABINASH ROUT,03-Apr-2023 07:15 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,Technical,22 OUT OF 22 QUALIFIED IN TECHNICAL BID,Arabinda Rout,18-Apr-2023 04:19 PM,technical_431103.pdf,22-May-2023,"INR 11,859,785",330.0,Arabinda Rout,06-Jun-2023 11:16 AM,Budhideibandhaaoc.pdf (390.00 KB),Congratulation Sri Sritam Kumar Bastya for being the successful bidder.,ARABINDA ROUT,Internal,ACE ASST ACE SE CUTTACK DAO CUTTACK AEE,Arabinda Rout,01-May-2023 04:14 PM,finsummary_431103.pdf (463.03 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,DTCN,"1,39,600",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,20-Mar-2023 11:00 AM,05-Apr-2023 11:00 AM,20-Mar-2023 11:00 AM,04-Apr-2023 05:00 PM,NA ,NA ,20-Mar-2023 11:00 AM,04-Apr-2023 05:00 PM,19-Apr-2023 11:00 AM,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore",ACECMIC-05/2022-23,2023_CEMIB_86909_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Repair to Budhideibandha MIP in Narsinghpur Block of Cuttack District under Repair Renovation and Restoration scheme for the year 2022-23,Repair to Budhideibandha MIP in Narsinghpur Block of Cuttack District under Repair Renovation and Restoration scheme for the year 2022-23,Please refer Tender documents. ,NA ,"1,39,51,046",Civil Works - Others,NA ,Tender,90.0,330.0,Narsinghpur Block Cuttack District,754032.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"Additional Chief Engineer, Central M.I Circle, Bhu",Bhoinagar Bhubaneswar PIN 751022 Khurda,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2108280,ALOKASHRIBAD PANDA,01-Apr-2023 10:34 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2104330,Ankita Mohamanasingh,26-Mar-2023 08:22 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2108048,ARIJIT NATH,31-Mar-2023 05:45 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2108062,Ashish Kumar Kar,31-Mar-2023 11:24 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2106258,BABULI CHARAN BEHERA,29-Mar-2023 10:35 AM,Rejected-Finance,NOT-QUALIFIED,01-May-2023 04:14 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2108738,Binod Behera,04-Apr-2023 12:54 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2109305,BISHWOJIT BISWAL,04-Apr-2023 11:19 AM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2109392,DASHARATHI JENA,04-Apr-2023 04:21 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2109499,DEBAKANTA MALLICK,04-Apr-2023 04:56 PM,Rejected-AOC,UNSUCCESSFUL IN LOTTERY,06-Jun-2023 11:20 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
