Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2022_EICCL_83506_1,SC RandB GM-II-33/2022-23,Construction of fixed vision centre FVC at CHC Belagam,1.0,1999275.0,NILANCHAL DASH,INR,"769,284",Superintending Engineer,Internal,DAO and Estimator,Tapan Kumar Panigrahi,24-Jun-2023 07:27 PM,techsummary_418019.pdf (419.88 KB),24-Jun-2023,"INR 904,934",120.0,Tapan Kumar Panigrahi,24-Jun-2023 07:32 PM,02.pdf (95.00 KB),Work awarded to Sri Nilanchal Das,Finance,Two nos of bidder participated and under scrutiny,Tapan Kumar Panigrahi,06-Dec-2022 11:50 AM,finance_418019.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,DAO and Estimator,Tapan Kumar Panigrahi,24-Jun-2023 07:30 PM,finsummary_418019.pdf (419.88 KB),1,1999275,NILANCHAL DASH,30-Nov-2022 03:14 PM,Accepted-AOC,Work awarded,24-Jun-2023 07:32 PM,AOC,23-Nov-2022 10:00 AM,01-Dec-2022 11:30 AM,23-Nov-2022 10:00 AM,30-Nov-2022 04:00 PM,23-Nov-2022 10:00 AM ,26-Nov-2022 04:00 PM ,23-Nov-2022 10:00 AM,30-Nov-2022 04:00 PM,Construction of fixed vision centre FVC at CHC Belagam,Building work,Please refer Tender documents. ,NA ,"9,04,934",Civil Works - Buildings,NA ,Tender,90.0,120.0,Belagam,760009.0,NA ,NA ,NA ,O/o Superintending Engineer Ganjam RandB Division,No ,No,"4,000",0.0,Nil,Nil,No,Superintending Engineer,"O/o Superintending Engineer Ganjam RandB Division No.II, Hillpatna Berhampur-5",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SC RandB GM-II-33/2022-23,2022_EICCL_83506_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,0.0,No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of tender paper PAN GSTIN Affidavit License Bid security declaratio other documents as per DTCN,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1998706,PRAMOD KUMAR DASH,30-Nov-2022 03:16 PM,Rejected-AOC,Not won in the lottery,24-Jun-2023 07:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,2,ICICI NEFT/RTGS,AOC
