Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Museum Park Complex at Mangalpur,Construction of Museum Park Complex at Mangalpur,Please refer Tender documents. ,NA ,"3,68,44,060",Civil Works - Buildings,NA ,Tender,90.0,240.0,Mangalpur Kalahandi,766018.0,O/o THE CCE UIP MUKHIGUDA ,"The Chief Construction Engineer, Upper Indravati Project, Mukhiguda ",24-Apr-2023 11:30 AM ,o/o CCE UIP MUKHIGUDA,No ,No,"3,68,500",Yes,fixed,,Nil,Nil,17-Apr-2023 10:00 AM,11-May-2023 11:00 AM,17-Apr-2023 10:00 AM,10-May-2023 05:00 PM,17-Apr-2023 10:00 AM ,24-Apr-2023 11:30 AM ,25-Apr-2023 10:00 AM,10-May-2023 05:00 PM,20-May-2023 11:00 AM,"10,000",Nil,Nil,Yes,CCE Upper Indravati Irrigation Project Mukhiguda,"CCE,UIP-01(01)/2023-24",2023_CEUIP_87980_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date correction inside DTCN,Technical Bid,,1.0,ICICI BANK,CCE UIP MUKHIGUDA,"The Chief Construction Engineer, Upper Indravati Project, Mukhiguda",1.0,Fee/PreQual/Technical,.pdf,d Licence Pan GST Bid Cost EMD Affidavit NRC MOU with electrical LT/HT Contractor etc as per DTCN,AOC,CCE UIP MUKHIGUDA,Internal,S MISHRA FA AND CAO U JANI PAT CCE UIP AK BHOI EE LHWD KUSUMKHUNTI,Anil Kumar Panigrahi,18-May-2023 07:50 PM,20-May-2023 11:00 AM,techsummary_434452.pdf (3447.40 KB),CCE Upper Indravati Irrigation Project Mukhiguda,2023_CEUIP_87980_1,"CCE,UIP-01(01)/2023-24",Construction of Museum Park Complex at Mangalpur,Finance,ALL THE BIDS OPENED SUCCESSFULLY,Anil Kumar Panigrahi,22-May-2023 07:43 PM,finance_434452.pdf,BOQ Comparative Chart,Technical,All the bids opened successfully.,AKSHAYA KUMAR BHOI,14-May-2023 12:43 PM,,1,2135218,AMAN AGRAWAL,10-May-2023 02:55 PM,Rejected-AOC,Not Selected in transparent lottery process,22-Jun-2023 10:29 PM,Er Anil Kumar Panigrahi CCE,Internal,Er AKBhoi Sri S Mishra Er P Nayak,Anil Kumar Panigrahi,22-Jun-2023 10:22 PM,finsummary_434452.pdf (1399.12 KB),22-Jun-2023,"INR 31,321,135",240.0,Anil Kumar Panigrahi,22-Jun-2023 10:27 PM,workorder_museumpark.pdf (632.00 KB),Awarded in transparent lottery process,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,ALL OTHER DOCUMENTS AS PER DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,2,2135435,BEDA PRAKASH SAHU,10-May-2023 12:06 PM,Rejected-AOC,Not Selected in transparent lottery process,22-Jun-2023 10:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,AOC,,,,,,,,,,,,,,,,,,,,,,,3,2133065,GAUTAM KUMAR AGRAWAL,10-May-2023 02:13 PM,Rejected-AOC,Not Selected in transparent lottery process,22-Jun-2023 10:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4,2135250,GOVIND PRASAD SAHU,10-May-2023 03:01 PM,Rejected-AOC,Not Selected in transparent lottery process,22-Jun-2023 10:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5,2135523,Jashobanta Kumar Bishi,10-May-2023 01:11 PM,Rejected-Finance,REJECTED BEING L2,22-Jun-2023 10:22 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,6,2135383,MAHABIR INFRA,10-May-2023 01:38 PM,Rejected-AOC,Not Selected in transparent lottery process,22-Jun-2023 10:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,7,2135623,MANOJ KUMAR MOHANTY,10-May-2023 02:10 PM,Rejected-AOC,Not Selected in transparent lottery process,22-Jun-2023 10:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,8,2135498,M/S RAJESH KUMAR PATRA,10-May-2023 01:16 PM,Rejected-Technical,Technically Not Qualified due to GSTIN Status,18-May-2023 07:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,9,2135476,PRADEEP KUMAR SAHU,10-May-2023 12:26 PM,Accepted-AOC,Selected in transparent lottery process.,22-Jun-2023 10:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,10,2135387,REKANTA NAIK,10-May-2023 04:24 PM,Rejected-Finance,REJECTED BEING L2,22-Jun-2023 10:22 PM,,,,,,,,,,,,,,AOC
