Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi,2023_DZPK_87039_7,ZP- KLD-T- 4 /2022-23,"Construction of Block Public Health Unit (BPHU) at CHC, Biswanathpur, Lanjigarh","CDO-ccum-EO, Zilla Parishad, Kalahandi",Internal,,Sachin Prakash Pawar,26-Jun-2023 12:46 PM,finsummary_431438.pdf (141.47 KB),26-Jun-2023,"INR 3,531,743",180.0,Sachin Prakash Pawar,26-Jun-2023 12:47 PM,BPHU.pdf (141.00 KB),1.0,2104982.0,RASHMI RANJAN JENA,INR,"3,531,743",Finance,1 bidder applied,Sachin Prakash Pawar,28-Mar-2023 06:00 PM,,BOQ Comparative Chart,"CDO-ccum-EO, Zilla Parishad, Kalahandi",Internal,,Sachin Prakash Pawar,26-Jun-2023 12:45 PM,techsummary_431438.pdf (141.47 KB),1.0,2104982.0,RASHMI RANJAN JENA,27-Mar-2023 04:55 PM,Accepted-AOC,Qualified,26-Jun-2023 12:47 PM,AOC,1,ICICI BANK,"35,000",No,fixed,,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi,ZP- KLD-T- 4 /2022-23,2023_DZPK_87039_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,18-Mar-2023 11:00 AM,28-Mar-2023 11:00 AM,18-Mar-2023 11:00 AM,27-Mar-2023 05:00 PM,18-Mar-2023 11:00 AM ,22-Mar-2023 05:00 PM ,18-Mar-2023 11:00 AM,27-Mar-2023 05:00 PM,"6,000",Nil,Nil,No,"CDO-cum-EO, Zilla Parishad, Kalahandi","O/o Zilla Parishad, Kalahandi, Bhawanipatna","Construction of Block Public Health Unit (BPHU) at CHC, Biswanathpur, Lanjigarh",Building,Please refer Tender documents. ,NA ,"35,31,743",Civil Works - Buildings,NA ,Tender,90.0,180.0,"O/o Zilla Parishad, Kalahandi, Bhawanipatna",766001.0,NA ,NA ,NA ,"O/o Zilla Parishad, Kalahandi, Bhawanipatna",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
