Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_27,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,1.0,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN",Repair and Restoration of road drain from Raghunath Sahi to School in Ward No 02,Repair and Restoration of road drain from Raghunath Sahi to School in Ward No 02,Please refer Tender documents. ,NA ,"2,54,385",Civil Works - Others,NA ,Tender,120.0,30.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,1.0,ICICI BANK,"2,544",Yes,percentage,1.0%,Nil,Nil,21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:35 AM,1.0,OPENING DATE EXTENSION,Date,,"2,000",0.0,Nil,Nil,No,AOC,1,2130127,KAILASH CHANDRA PATTANAIK,04-May-2023 04:03 PM,Accepted-AOC,DUE TO L1,26-Jun-2023 11:23 AM,26-Jun-2023,"INR 255,178",30.0,Rizwana Kawkab,26-Jun-2023 11:23 AM,IMG_20230626_0001.pdf (507.00 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:32 AM,12-May-2023 09:35 AM,techsummary_435054.pdf (522.34 KB),Finance,OK,Rizwana Kawkab,12-May-2023 10:31 AM,,BOQ Comparative Chart,Municipal Bodies||Khordha Municipality,2023_ORULB_88116_27,KMPLTY/ 02/2023-24,Repair and Restoration of road drain from Raghunath Sahi to School in Ward No 02,Technical,opened,Nihar Ranjan Sahu,09-May-2023 11:21 AM,technical_435054.pdf,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,26-Jun-2023 11:18 AM,finsummary_435054.pdf (375.98 KB),1.0,2130127.0,KAILASH CHANDRA PATTANAIK,INR,"255,178",AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2129439,NIRANJAN BEHERA,03-May-2023 07:24 PM,Rejected-Technical,Bid confirmation sheet not submitted,12-May-2023 09:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2130138,SANDIP KUMAR BARMAN,04-May-2023 04:16 PM,Rejected-Finance,DUE TO L2,26-Jun-2023 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2129395,SHREE RAGHUNATH CONSTRUCTION,03-May-2023 06:30 PM,Rejected-Technical,Bid confirmation sheet not submitted,12-May-2023 09:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
