Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
"Er. K.C. Acharya SE MI Division, Sundargarh",Internal,"Sri V.Grewal DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr)",KISHOR CHANDRA ACHARYA,01-May-2023 05:50 PM,techsummary_434182.pdf (1678.21 KB),1.0,2119947.0,Archana Patel,INR,"2,437,039.16","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2023_CEMIB_87877_3,SE MID SNG 02/2023-24,Improvement to Darlipali MIP in Lephripara Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2023-24.,1,2120602,Akshya Kumar Patel,24-Apr-2023 11:50 AM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,17-May-2023,"INR 2,437,039.16",120.0,KISHOR CHANDRA ACHARYA,13-Jun-2023 10:08 AM,darlipali.pdf (616.00 KB),The tender of Smt Archana Patel B class Engg contractor decided in transparent lottery amounting to Rs 2437039.16 being 14.99 percent less than the tendered value is accepted.,Finance,All the 22 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence all the valid tenders have been taken into CS.,KISHOR CHANDRA ACHARYA,01-May-2023 09:16 AM,finance_434182.pdf,BOQ Comparative Chart,"Er. K.C. Acharya SE MI Division, Sundargarh",Internal,"Sri V.Grewal DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr)",KISHOR CHANDRA ACHARYA,01-May-2023 06:10 PM,finsummary_434182.pdf (1678.21 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GSTIN, No Relation Certificate, CDMS License","28,668",Yes,percentage,1.0%,Nil,Nil,15-Apr-2023 10:00 AM,25-Apr-2023 11:00 AM,15-Apr-2023 10:00 AM,24-Apr-2023 05:30 PM,15-Apr-2023 10:00 AM ,24-Apr-2023 05:30 PM ,15-Apr-2023 10:00 AM,24-Apr-2023 05:30 PM,"Superintending Engineer, MI Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG 02/2023-24,2023_CEMIB_87877_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Improvement to Darlipali MIP in Lephripara Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2023-24.,Improvement to Darlipali MIP in Lephripara Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2023-24.,C AND B CLASS CONTRACTOR ,NA ,"28,66,768",Civil Works - Others,Impvt. to MIP ,Tender,90.0,120.0,Lephripara Block,770012.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2119171,ALOK KUMAR NAYAK,22-Apr-2023 12:25 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2119947,Archana Patel,23-Apr-2023 12:51 PM,Accepted-AOC,Accepted,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2119001,BIDESI TAJAN,22-Apr-2023 11:23 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2120934,BINAYA RANJAN PATEL,24-Apr-2023 12:52 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2120321,BIRANCHI PRADHAN ST,23-Apr-2023 08:17 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2121223,CHINMAY SARPATIA,24-Apr-2023 03:36 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2119630,DEBADARSI PATRA,22-Apr-2023 09:23 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2120873,DEEPAK DANDAPAT,24-Apr-2023 12:21 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2121121,DHANESWAR MAJHI,24-Apr-2023 02:33 PM,Rejected-AOC,Rejected,13-Jun-2023 10:10 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
