EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"32,114",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper Cost, Bid Security Declaration, PAN, GSTIN, Affidavits and Other documents as per DTCN","7,080",Nil,Nil,Yes,Construction of internal cement concrete road of godown at SWC Jharsuguda,Construction of internal cement concrete road of godown at SWC Jharsuguda,Please refer Tender documents. ,NA ,"32,11,398",Civil Works - Others,NA ,Tender,90.0,120.0,At Jharsuguda,751006.0,NA ,NA ,NA ,O/o the Odisha State Warehousing Corporation,No ,No,"Managing Director, OSWC, Bhubaneswar","O/o the Odisha State Warehousing Corporation, Cuttack Road, Bhubaneswar",20-Mar-2023 05:30 PM,27-Mar-2023 03:00 PM,20-Mar-2023 05:30 PM,26-Mar-2023 05:00 PM,NA ,NA ,20-Mar-2023 05:30 PM,26-Mar-2023 05:00 PM,Odisha State Warehousing Corporation,OSWC/Civil/09/2022-23 Dtd.16.03.2023,2023_OSWC_87112_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1,2103934,ABHAYA MALLICK,26-Mar-2023 10:34 AM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,23-Jun-2023,"INR 2,730,009",120.0,Smitanjali Swain,23-Jun-2023 03:17 PM,JHARSUGUDAAOC.pdf (2221.00 KB),FACAO,Internal,"SECRETARY,DGM,AE",Smitanjali Swain,06-Apr-2023 03:40 PM,finsummary_431719.pdf (1618.06 KB),Finance,OPENING,Naba Kishor Mishra,27-Mar-2023 07:04 PM,,BOQ Comparative Chart,FACAO,Internal,"SECRETARY,DGM,AE",Smitanjali Swain,06-Apr-2023 03:36 PM,techsummary_431719.pdf (671.52 KB),Odisha State Warehousing Corporation,2023_OSWC_87112_12,OSWC/Civil/09/2022-23 Dtd.16.03.2023,Construction of internal cement concrete road of godown at SWC Jharsuguda,1.0,2103471.0,Biswajit Mund,INR,"2,730,009",AOC
,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2103554,AMARESWAR DAS,25-Mar-2023 03:17 PM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2102351,BATAKRUSHNA TRIPATHY,22-Mar-2023 05:21 PM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2103471,Biswajit Mund,25-Mar-2023 06:48 PM,Accepted-AOC,AWARDED FOR THIS WORK,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2104122,DIBAKAR MARTHA,26-Mar-2023 02:36 PM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2103255,DIPAK KUMAR PAIKARAY,24-Mar-2023 07:17 PM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2104180,DIPTIMAYEE PADHI,26-Mar-2023 04:43 PM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2103643,madhab charan sethy,25-Mar-2023 02:26 PM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2103875,Manas Kumar Das,26-Mar-2023 11:34 AM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2103897,MANAS RANJAN MOHANTY,26-Mar-2023 07:54 AM,Rejected-AOC,DID NOT WIN,23-Jun-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
