Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||NAYAGARH Block,2023_PRNY_86625_1,BDO-NAYA-2-2022-23,"NEW CONSTRUCTION OF DAY CARE PRIMARY HEALTH CENTER BUILDING AT BALUGAON UNDER NAYAGARH BLOCK, FOR YEAR- 2022-23",Technical,All bids are accepted,Padma Charan Shaoo,21-Mar-2023 11:54 AM,technical_430266.pdf,"Padma Charan Sahoo,BDO Nayagarh",Internal,,Padma Charan Shaoo,04-Jun-2023 11:44 PM,finsummary_430266.pdf (1716.91 KB),Finance,All Bids are accepted,Santosh Kumar Mallik,28-Mar-2023 12:41 PM,finance_430266.pdf,BOQ Comparative Chart,05-Jun-2023,"INR 7,828,000",270.0,Padma Charan Shaoo,05-Jun-2023 12:28 AM,Workorder.pdf (1980.00 KB),1.0,2101356.0,DILLIP KUMAR CHAMPATI,INR,"7,828,000",Block Development Officer,Internal,,Padma Charan Shaoo,28-Mar-2023 11:17 AM,28-Mar-2023 11:30 AM,techsummary_430266.pdf (320.30 KB),1,2100950,ASHOK KUMAR ROUT,20-Mar-2023 03:46 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,1.0,ICICI BANK,1.0,Corrigendum for Authorized Person and Headquarter name,Technical Bid,,"78,280",Yes,percentage,1.0%,Nil,Nil,"NEW CONSTRUCTION OF DAY CARE PRIMARY HEALTH CENTER BUILDING AT BALUGAON UNDER NAYAGARH BLOCK, FOR YEAR- 2022-23","NEW CONSTRUCTION OF DAY CARE PRIMARY HEALTH CENTER BUILDING AT BALUGAON UNDER NAYAGARH BLOCK, FOR YEAR- 2022-23",Please refer Tender documents. ,NA ,"78,28,000",Civil Works - Others,NA ,Tender,90.0,270.0,BDO NAYAGARH,752069.0,NA ,NA ,NA ,OFFICE OF THE PANCHAYAT SAMITI NAYAGARH,No ,No,"10,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||NAYAGARH Block,BDO-NAYA-2-2022-23,2023_PRNY_86625_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,06-Mar-2023 11:00 AM,21-Mar-2023 11:00 AM,06-Mar-2023 11:00 AM,20-Mar-2023 05:00 PM,NA ,NA ,06-Mar-2023 11:00 AM,20-Mar-2023 05:00 PM,28-Mar-2023 11:30 AM,BDO NAYAGARH,OFFICE OF THE PANCHAYAT SAMITI NAYAGARH,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2101356,DILLIP KUMAR CHAMPATI,20-Mar-2023 04:12 PM,Accepted-AOC,Selected through lottery system,05-Jun-2023 12:32 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2100748,GHANA SHYAMA PALEI,20-Mar-2023 11:42 AM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2097902,JIMENDRA KUMAR BEHERA,13-Mar-2023 09:25 AM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2100379,JYOSNARANI PATRA,18-Mar-2023 02:49 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2100843,KUMAR DEBADATTA,19-Mar-2023 08:21 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2101012,KUMUD CHANDRA MOHAPATRA,20-Mar-2023 10:53 AM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2100880,MANORANJAN DALEI,20-Mar-2023 04:24 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2101375,RAKESH KUMAR SAHOO,20-Mar-2023 04:09 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2101159,SAMEER PATTANAIK,20-Mar-2023 03:22 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:32 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
