Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Sri Tarini Chandra Sethy,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Manoranjan Behera,20-May-2023 06:55 PM,techsummary_436285.pdf (179.97 KB),02-Jun-2023,"INR 1,361,269",120.0,Himanshu Sekhar Behera,22-Jun-2023 10:19 AM,21Pendrawan.pdf (1486.00 KB),Through transparent lottery system.,1,2135097,ASIAN GEOTECH RESEARCH SERVICES,10-May-2023 12:28 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:20 AM,Finance,10(ten) nos. of bidders have participated.,Himanshu Sekhar Behera,11-May-2023 04:18 PM,,BOQ Comparative Chart,1.0,2135391.0,D N CONSULTANT,INR,"1,361,269",Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2023_CADSP_88509_21,JDSP-01/2023-24,"Survey and Planning for Command Area Development and water management in Pendrawan MIP of Block Komna, Godalnalla MIP of Block Sinapalli and Dhujabhata MIP of Block Nuapada in Nuapada District",Sri Tarini Chandra Sethy JD,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Himanshu Sekhar Behera,22-May-2023 06:48 PM,finsummary_436285.pdf (497.49 KB),AOC,"Survey and Planning for Command Area Development and water management in Pendrawan MIP of Block Komna, Godalnalla MIP of Block Sinapalli and Dhujabhata MIP of Block Nuapada in Nuapada District",Survey and Planning for Command Area Development and water management,Please refer Tender documents. ,NA ,"16,01,305",Civil Works - Others,NA ,Tender,90.0,120.0,Nuapada,766108.0,NA ,NA ,NA ,"JD, SP, OFMRDC Campus, Satyanagar, Bhubaneswar-7",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, EMD,Bid Security Declaration, Affidavit and other Document",01-May-2023 11:00 AM,11-May-2023 11:00 AM,01-May-2023 11:00 AM,10-May-2023 05:00 PM,01-May-2023 11:00 AM ,06-May-2023 05:00 PM ,01-May-2023 11:00 AM,10-May-2023 05:00 PM,"16,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-01/2023-24,2023_CADSP_88509_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Deputy Director,"office of JD, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha,","6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,2,2135378,CHETAK ENGINEERS,10-May-2023 03:13 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 06:55 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2135391,D N CONSULTANT,10-May-2023 11:28 AM,Accepted-AOC,Through transparent lottery system.,22-Jun-2023 10:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2131884,M/s M K CONSULTANCY,09-May-2023 02:36 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2135319,NIRAJ BHARAT VANKUDRE,10-May-2023 10:40 AM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 06:55 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2134215,"Pioneer, Consulting Engineers & Contractors",09-May-2023 10:27 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2131495,Sujal Associates,06-May-2023 11:45 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2130591,VENKATESHWARA ENTERPRISES,10-May-2023 10:33 AM,Rejected-Technical,Due to non-fulfilling of criteria as per DTCN,20-May-2023 06:55 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2129865,Visiontek Consultancy Services Pvt. Ltd.,10-May-2023 01:48 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2131586,Water Power Consultants india Pvt Ltd,10-May-2023 07:44 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:20 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
