Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
20-Feb-2023 11:00 AM,02-Mar-2023 11:00 AM,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,20-Feb-2023 11:00 AM ,27-Feb-2023 05:00 PM ,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTC","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",e-Procurement Notice No.SEPRD-27/2022-23,2023_CELBB_86355_39,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"8,300",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,(39) Restoration to Govindpur Minor from RD 3280m. to 3700m.,Restoration to Govindpur Minor from RD 3280m. to 3700m.,Please refer Tender documents. ,NA ,"8,20,002",Civil Works - Others,NA ,Tender,90.0,90.0,Pratapnagari,753001.0,NA ,NA ,NA ,"S.E, Prachi Division, Bhubaneswar",No ,No,"S.E, Prachi Division, Bhubaneswar","S.E, Prachi Division, Bhubaneswar",AOC,1,2093500,BIKASH CHANDRA PATRA,01-Mar-2023 03:24 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,26-Apr-2023,"INR 697,084",90.0,K. Krishna Rao,02-Jun-2023 07:41 PM,AOC_27_39.pdf (127.00 KB),The work has been awarded to Lingaraj Pradhan,"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,13-Apr-2023 10:15 AM,techsummary_429462.pdf (99.05 KB),"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2023_CELBB_86355_39,e-Procurement Notice No.SEPRD-27/2022-23,(39) Restoration to Govindpur Minor from RD 3280m. to 3700m.,"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,14-Apr-2023 01:27 PM,finsummary_429462.pdf (99.05 KB),Finance,11 Nos Bidders Participated,K. Krishna Rao,03-Mar-2023 08:08 PM,,BOQ Comparative Chart,1.0,2092747.0,LINGARAJ PRADHAN,INR,"697,084",AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2088227,BIRANCHI NARAYAN PATRA,24-Feb-2023 05:59 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2092049,JHARANA DASH,27-Feb-2023 05:28 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2092747,LINGARAJ PRADHAN,28-Feb-2023 07:14 PM,Accepted-AOC,Selected in the Lottery,02-Jun-2023 07:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2092760,NIRMAL CHANDRA PANIGRAHI,28-Feb-2023 07:26 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2092632,NIRODA KUMAR JENA,28-Feb-2023 05:22 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2088781,PRASANTA KUMAR MOHANTY,28-Feb-2023 11:32 AM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2088782,SHYAMAKANTA DEBASHISH NAYAK,28-Feb-2023 12:07 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2085630,SRUTIKANTA MOHANTY,23-Feb-2023 01:08 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2092750,SWAPNARANI SWAIN,28-Feb-2023 07:18 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
