Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Repairing and widening of Main road in front of Senhapali High School towards Chwok, W.no-1","Repairing and widening of Main road in front of Senhapali High School towards Chwok, W.no-1",Please refer Tender documents. ,NA ,"5,62,073",Civil Works - Others,NA ,Tender,120.0,60.0,sambalpur municipal corporation,768006.0,NA ,NA ,NA ,sambalpur municipal corporation,No ,No,"5,621",Yes,percentage,1.0%,Nil,Nil,18-Apr-2023 11:00 AM,01-May-2023 11:00 AM,18-Apr-2023 11:00 AM,29-Apr-2023 05:00 PM,NA ,NA ,18-Apr-2023 11:00 AM,29-Apr-2023 05:00 PM,1,ICICI BANK,"4,000",0.0,Nil,Nil,Yes,Commissioner,"New office buiding, SMC, Durgapali, Sambalpur,768006",Municipal Bodies||Sambalpur Municipal Corporation,1/SMC_SBP/2023-24,2023_ORULB_87985_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"pan,gst, affidavit, no relation certificate, etc as per DTCN",AOC,Ananya Das Committee Chairperson / Co-ordinator,Internal,"DEE,EE,HO,DC,COMMISSIONER,SMC",Sanjeeb Toppo,22-Jun-2023 12:52 PM,techsummary_434506.pdf (372.25 KB),Municipal Bodies||Sambalpur Municipal Corporation,2023_ORULB_87985_1,1/SMC_SBP/2023-24,"Repairing and widening of Main road in front of Senhapali High School towards Chwok, W.no-1",1.0,2125166.0,Ghanshyam Kar,INR,"562,074",1,2125166,Ghanshyam Kar,28-Apr-2023 09:24 PM,Accepted-AOC,successful,22-Jun-2023 12:58 PM,Ananya Das Committee Chairperson / Co-ordinator,Internal,"DEE,EE,HO,DC,COMMISSIONER,SMC",Sanjeeb Toppo,22-Jun-2023 12:54 PM,finsummary_434506.pdf (372.25 KB),Finance,TENER OPENED,Pradeep Kumar Sahoo,02-May-2023 10:13 AM,finance_434506.pdf,BOQ Comparative Chart,22-Jun-2023,"INR 562,074",60.0,Sanjeeb Toppo,22-Jun-2023 12:57 PM,1-1-24.pdf (372.00 KB),successful,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,AOC,,,,,,,,,,,,,,,,2,2125176,RABINDRA JHANKAR,28-Apr-2023 09:20 PM,Rejected-Technical,unsuccessful,22-Jun-2023 12:52 PM,,,,,,,,,,,,,,,,,,,,AOC
