S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Commissioner,"New office buiding, SMC, Durgapali, Sambalpur,768006","6,000",0.0,Nil,Nil,Yes,"15,889",Yes,percentage,1.0%,Nil,Nil,18-Apr-2023 11:00 AM,01-May-2023 11:00 AM,18-Apr-2023 11:00 AM,29-Apr-2023 05:00 PM,NA ,NA ,18-Apr-2023 11:00 AM,29-Apr-2023 05:00 PM,"Construction of Road at Vaidik Vihar near Dayanidhi Biswal house in W.No-28 under SMC, Sambalpur","Construction of Road at Vaidik Vihar near Dayanidhi Biswal house in W.No-28 under SMC, Sambalpur",Please refer Tender documents. ,NA ,"15,88,908",Civil Works - Others,NA ,Tender,120.0,90.0,sambalpur municipal corporation,768006.0,NA ,NA ,NA ,sambalpur municipal corporation,No ,No,Municipal Bodies||Sambalpur Municipal Corporation,1/SMC_SBP/2023-24,2023_ORULB_87985_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"pan,gst, affidavit, no relation certificate, etc as per DTCN",AOC,"Ananya Das, Committee Chairperson / Co-ordinator",Internal,"DEE,EE,AO,DC, COMMSSIONER,SMC",Pradeep Kumar Sahoo,22-Jun-2023 03:29 PM,finsummary_434526.pdf (583.10 KB),Municipal Bodies||Sambalpur Municipal Corporation,2023_ORULB_87985_20,1/SMC_SBP/2023-24,"Construction of Road at Vaidik Vihar near Dayanidhi Biswal house in W.No-28 under SMC, Sambalpur",1.0,2124834.0,ABHINAS NANDA,INR,"1,588,908",Finance,tender opened,PADMINI MEHER,22-Jun-2023 02:54 PM,finance_434526.pdf,BOQ Comparative Chart,1,2124834,ABHINAS NANDA,27-Apr-2023 05:46 PM,Accepted-AOC,SUCCESSFUL,22-Jun-2023 03:31 PM,22-Jun-2023,"INR 1,588,908",90.0,Pradeep Kumar Sahoo,22-Jun-2023 03:30 PM,1-20-24.pdf (583.00 KB),SUCCESSFUL,Ananya Das Committee Chairperson / Co-ordinator,Internal,"DEE,EE,HO,DC,COMMISSIONER,SMC",PADMINI MEHER,22-Jun-2023 02:59 PM,techsummary_434526.pdf (586.13 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,AOC,,,,,,,,,,,,,,,,,,,,,,2,2125131,BAISNABA SAYAT,28-Apr-2023 03:12 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2123434,CHANDRABHANU DASH,26-Apr-2023 05:38 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2124767,GOPABANDHU BHOI,28-Apr-2023 12:35 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2125016,MADAN MOHAN PANDA,27-Apr-2023 08:30 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2125098,RAMESH CHANDRA MAHAKUD,27-Apr-2023 10:41 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2125043,SASWAT NANDA,27-Apr-2023 08:52 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2124351,SRI AJIT KUMAR HOTA,27-Apr-2023 01:41 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2122101,SUSMITA NATH,26-Apr-2023 09:52 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2124891,Udit Kanta Nath,27-Apr-2023 06:06 PM,Rejected-Technical,unsuccessful,22-Jun-2023 02:59 PM,,,,,,,,,,,,,,AOC
