Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
22-Aug-2022 11:00 AM,06-Sep-2022 12:00 PM,22-Aug-2022 11:00 AM,05-Sep-2022 05:00 PM,NA ,NA ,22-Aug-2022 11:00 AM,05-Sep-2022 05:00 PM,27-Oct-2022 12:00 PM,P/R to Vizag - Jeypore road from 125/800 km to 128/330 km during the year 2022-23.,Civil Works,Please refer Tender documents. ,NA ,"55,52,000",Civil Works - Roads,Roads ,Tender,90.0,90.0,Nandapur,764037.0,NA ,NA ,NA ,"Office of the S.E R and B Division, Koraput",No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online copy of tender cost and RC, PAN Card, GSTIN and Affidavit Machines and other documents.",1.0,ICICI BANK,"S.E, R and B Division, Koraput","Office of the S.E R and B Division, Koraput",0.0,No,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,S.E (R and B) KPT - 07 /2022-23,2022_EICCL_80533_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,SUPERINTENDING ENGINEER,Internal,"JE ESTIMATOR, AEE ESTIMATOR and DAO KORAPUT R and B DIVISION",Satya Narayan Khura,26-Oct-2022 07:21 PM,27-Oct-2022 12:00 PM,techsummary_407766.pdf (830.53 KB),1.0,1926355.0,Nirod Kumar Nayak,INR,"4,719,765",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-KORAPUT,2022_EICCL_80533_6,S.E (R and B) KPT - 07 /2022-23,P/R to Vizag - Jeypore road from 125/800 km to 128/330 km during the year 2022-23.,Finance,Qualified in technical evaluation,Satya Narayan Khura,03-Jun-2023 12:08 PM,finance_407766.pdf,BOQ Comparative Chart,Technical,Seventeen nos. of tenderers documents opened.,Biswa Ranjan Pradhan,15-Oct-2022 05:18 PM,technical_407766.pdf,1,1926581,AMIT KUMAR SAHU,05-Sep-2022 01:18 PM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,03-Jun-2023,"INR 4,719,765",90.0,Satya Narayan Khura,03-Jun-2023 12:13 PM,AOCVJ.pdf (647.00 KB),AWARD OF CONTRACT,SUPERINTENDING ENGINEER,Internal,"JE ESTIMATOR, AEE ESTIMATOR and DAO KORAPUT R and B DIVISION",Satya Narayan Khura,03-Jun-2023 12:11 PM,finsummary_407766.pdf (321.74 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1926687,ASHISH CHOUDHURY,05-Sep-2022 01:52 PM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1924246,Banoj kumar patra,31-Aug-2022 10:24 AM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1926461,CHANDAN KUMAR BISOI,05-Sep-2022 10:08 AM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1925604,GOURA CHANDRA ACHARYA,04-Sep-2022 10:24 AM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1926363,HARIBANDHU KHORA,05-Sep-2022 04:42 PM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1926057,LALITENDU TRIPATHY,04-Sep-2022 01:59 AM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1925237,M/S MANOJA CONSTRUCTION,02-Sep-2022 05:00 PM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1926011,M/s SANTOSH SATAPATHY,04-Sep-2022 06:55 PM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1926555,NARAYAN TANTI,05-Sep-2022 03:18 PM,Rejected-AOC,The bidder has been selected as per transparent lottery system 1st lowest,03-Jun-2023 12:14 PM,,,,,,,,,,,,,,AOC
