Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi,2023_DZPK_87415_2,ZP- KLD-T- 5 /2022-23,"Const. Day care sub centre -cum-HWC at Chhatrapur, Lanjigarh","CDO-ccum-EO, Zilla Parishad, Kalahandi",Internal,,Sachin Prakash Pawar,26-Jun-2023 12:51 PM,finsummary_432888.pdf (151.61 KB),1.0,2110893.0,KAMDEV BEMAL,INR,"3,138,222",26-Jun-2023,"INR 3,138,222",180.0,Sachin Prakash Pawar,26-Jun-2023 12:52 PM,Chhatrapur.pdf (152.00 KB),"CDO-ccum-EO, Zilla Parishad, Kalahandi",Internal,,Sachin Prakash Pawar,26-Jun-2023 12:50 PM,techsummary_432888.pdf (151.61 KB),1,2111394,ADIKANDA BISWAL,10-Apr-2023 04:19 PM,Rejected-Technical,Disqualified,26-Jun-2023 12:50 PM,Finance,3 nos. bidders are applied,Sachin Prakash Pawar,11-Apr-2023 01:48 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi,ZP- KLD-T- 5 /2022-23,2023_DZPK_87415_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Const. Day care sub centre -cum-HWC at Chhatrapur, Lanjigarh",Building work,Please refer Tender documents. ,NA ,"31,86,012",Civil Works - Buildings,NA ,Tender,90.0,180.0,"O/o Zilla Parishad, Kalahandi, Bhawanipatna",766001.0,NA ,NA ,NA ,"O/o Zilla Parishad, Kalahandi, Bhawanipatna",No ,No,"6,000",Nil,Nil,No,"32,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"CDO-cum-EO, Zilla Parishad, Kalahandi","O/o Zilla Parishad, Kalahandi, Bhawanipatna",03-Apr-2023 11:00 AM,11-Apr-2023 11:00 AM,03-Apr-2023 11:00 AM,10-Apr-2023 05:00 PM,03-Apr-2023 11:00 AM ,08-Apr-2023 05:00 PM ,03-Apr-2023 11:00 AM,10-Apr-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2110893,KAMDEV BEMAL,10-Apr-2023 07:43 AM,Accepted-AOC,qualified,26-Jun-2023 12:52 PM,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2111695,PARAMANANDA SAHU,10-Apr-2023 04:01 PM,Rejected-Technical,Disqualified,26-Jun-2023 12:50 PM,,,,,,,AOC,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
