S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,2129206.0,PRASANNA KUMAR RANA,INR,"2,435,608",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||BANKI Block,2023_PRBNK_87798_1,BNK-01/2023-24,Construction of Sub Centre Building at Nuagaon,"BDO,BANKI",Internal,,KHITISH BEHERA,12-Jun-2023 11:04 PM,techsummary_433799.pdf (191.73 KB),12-Jun-2023,"INR 2,435,608",240.0,KHITISH BEHERA,12-Jun-2023 11:09 PM,nuagaonagree.pdf (329.00 KB),Finance,Admitted,Vijayalaxmi Parida,05-May-2023 12:57 PM,,BOQ Comparative Chart,"BDO,Banki",Internal,,KHITISH BEHERA,12-Jun-2023 11:08 PM,finsummary_433799.pdf (852.96 KB),1,2128804,DIPU SAHOO,03-May-2023 08:00 AM,Rejected-Technical,Not Admitted,12-Jun-2023 11:04 PM,AOC,"6,000",Nil,Nil,No,"29,000",Yes,fixed,,Nil,Nil,13-Apr-2023 10:00 AM,04-May-2023 11:30 AM,13-Apr-2023 10:00 AM,03-May-2023 05:00 PM,13-Apr-2023 10:00 AM ,03-May-2023 03:00 PM ,13-Apr-2023 10:00 AM,03-May-2023 05:00 PM,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||BANKI Block,BNK-01/2023-24,2023_PRBNK_87798_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of Sub Centre Building at Nuagaon,Construction of Sub Centre Building at Nuagaon,Please refer Tender documents. ,NA ,"28,65,085",Civil Works - Buildings,NA ,Tender,90.0,240.0,"Nuagaon,Banki",754008.0,NA ,NA ,NA ,"Panchayat Samiti Office,Banki",No ,No,"Block Development Officer,Banki","Panchayat Samiti Office,Banki",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2129206,PRASANNA KUMAR RANA,03-May-2023 04:26 PM,Accepted-AOC,L1 bidder,12-Jun-2023 11:10 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2129091,SARITA SUBHADARSHINI SWAIN,03-May-2023 03:01 PM,Rejected-AOC,L2 bIDDER,12-Jun-2023 11:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
