Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Chairperson,Internal,Committee Head ChairPerson Pipli NAC Executive Officer Pipli NAC Municipal Engineer Accounts Officer Pipli Block Assistant Engineer Pipli Block Junior Engineer pipli NAC,POOJA ROUT,06-Jun-2023 12:04 PM,techsummary_429601.pdf (110.65 KB),1.0,2095832.0,LAXMAN KUMAR MOHAPATRA,INR,"424,038.7",Municipal Bodies||Pipli NAC,2023_ORULB_86384_6,PIPILI-NAC-4(53)/2022-23,Construction of CC road from Subham House to Nimapada Main road in ward No-02,1,2095832,LAXMAN KUMAR MOHAPATRA,06-Mar-2023 02:28 PM,Accepted-AOC,Quoted rate is L1,06-Jun-2023 12:13 PM,06-Jun-2023,"INR 424,038.7",30.0,POOJA ROUT,06-Jun-2023 12:10 PM,6.pdf (173.00 KB),Finance,2nos of bidder participarted,POOJA ROUT,06-Jun-2023 12:01 PM,,BOQ Comparative Chart,Chairperson,Internal,Committee Head ChairPerson Pipli NAC Executive Officer Pipli NAC Municipal Engineer Accounts Officer Pipli Block Assistant Engineer Pipli Block Junior Engineer pipli NAC,POOJA ROUT,06-Jun-2023 12:09 PM,finsummary_429601.pdf (110.65 KB),AOC,"Executive Officer, pipli NAC","Office of the Executive officer, Pipli NAC, Pipli,Puri-752104","2,360",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regist. of licence, GST, Regd, PAN, Paper cost, Affidavit, Decl and otfer doc as per DTCN",1,ICICI BANK,"4,300",No,fixed,,Nil,Nil,Construction of CC road from Subham House to Nimapada Main road in ward No-02,Construction of CC road from Subham House to Nimapada Main road in ward No-02,Please refer Tender documents. ,NA ,"4,24,039",Civil Works - Roads,NA ,Tender,90.0,30.0,Ward No-2,752104.0,NA ,NA ,NA ,"Office of the Executive officer, Pipli NAC",No ,No,22-Feb-2023 12:00 PM,09-Mar-2023 11:00 AM,22-Feb-2023 12:00 PM,06-Mar-2023 05:00 PM,NA ,NA ,22-Feb-2023 12:00 PM,06-Mar-2023 05:00 PM,Municipal Bodies||Pipli NAC,PIPILI-NAC-4(53)/2022-23,2023_ORULB_86384_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2095550,SK SAMIM UDDIN,06-Mar-2023 02:56 PM,Rejected-AOC,Quoted rate is L2,06-Jun-2023 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.xls,boq,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
