Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"2,000",0.0,Nil,Nil,No,Municipal Bodies||Balasore Municipality,BM_02_2023_24,2023_ORULB_88734_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1,ICICI BANK,"4,422",Yes,percentage,1.0%,Nil,Nil,Const. of CC Road from Muni Bhati House to Santosh Dalei House near Baba Baneswar Co-Operative Office in WNo_01 under Balasore Municipality,Const. of CC Road from Muni Bhati House to Santosh Dalei House near Baba Baneswar Co-Operative Office in WNo_01 under Balasore Municipality,Please refer Tender documents. ,NA ,"4,42,156",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,"Executive Officer, Balasore Municipality",Balasore Municipality,08-May-2023 05:00 PM,22-May-2023 11:00 AM,08-May-2023 05:00 PM,20-May-2023 05:00 PM,NA ,NA ,08-May-2023 05:00 PM,20-May-2023 05:00 PM,AOC,1,2142136,NANDA KISHORE RATH,19-May-2023 07:18 PM,Rejected-Finance,L2,26-Jun-2023 02:14 PM,26-Jun-2023,"INR 521,744",60.0,Pranabananda Sahu,26-Jun-2023 02:20 PM,WO0231.pdf (419.00 KB),EO ME CP,Internal,,Pranabananda Sahu,23-Jun-2023 04:27 PM,techsummary_436932.pdf (444.90 KB),EO ME CP,Internal,,Pranabananda Sahu,26-Jun-2023 02:14 PM,finsummary_436932.pdf (444.90 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_88734_31,BM_02_2023_24,Const. of CC Road from Muni Bhati House to Santosh Dalei House near Baba Baneswar Co-Operative Office in WNo_01 under Balasore Municipality,1.0,2142661.0,Sk Ibrar Hossain,INR,"437,734.44",Finance,TENDER OPENED SUCCESSFULLY,Kunal Motiram Chavan,22-May-2023 06:47 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2142661,Sk Ibrar Hossain,20-May-2023 12:17 PM,Accepted-AOC,WO,26-Jun-2023 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
