S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2080087.0,RM ENTERPRISES,INR,"688,963",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVN-KALAHANDI,2023_EICCL_86045_5,BC KLD-54/2022-2023,"Provision of SITC of 62.5 KVA DG set for attendant rest shed (Medicine ward causality, Lecture theatre,ICU) for function of Teaching hospital for govt. medical college at DHH Bhawanipatna ,Kalahandi",Executive Engineer,Internal,,Sujit Kumar Naik,19-Jun-2023 12:43 PM,techsummary_428116.pdf (993.42 KB),19-Jun-2023,"INR 688,963",30.0,Sujit Kumar Naik,19-Jun-2023 12:49 PM,attendantrestDHH.pdf (993.00 KB),Finance,4 nos bidder are admitted,Sujit Kumar Naik,21-Feb-2023 12:28 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Sujit Kumar Naik,19-Jun-2023 12:48 PM,finsummary_428116.pdf (993.42 KB),1,2084496,INDIA ELECTRICAL HOUSE,20-Feb-2023 02:02 PM,Rejected-Technical,Disqualified,19-Jun-2023 12:43 PM,AOC,Superintending Engineer,O/O Superintending Engineer Kalahandi R and B Division Bhawanipatna,1.0,ICICI BANK,10-Feb-2023 11:00 AM,21-Feb-2023 11:00 AM,10-Feb-2023 11:00 AM,20-Feb-2023 05:00 PM,10-Feb-2023 11:00 AM ,14-Feb-2023 05:00 PM ,10-Feb-2023 11:00 AM,20-Feb-2023 05:00 PM,"Provision of SITC of 62.5 KVA DG set for attendant rest shed (Medicine ward causality, Lecture theatre,ICU) for function of Teaching hospital for govt. medical college at DHH Bhawanipatna ,Kalahandi",Electrical,Please refer Tender documents. ,NA ,"8,10,449",Electrical Works,NA ,Tender,90.0,30.0,Bhawanipatna Kalahandi,766001.0,NA ,NA ,NA ,O/O SE Kalahandi R and B Division Bhawanipatna,No ,No,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVN-KALAHANDI,BC KLD-54/2022-2023,2023_EICCL_86045_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN,PAN,CONTRCTOR RC,AFFIDAVITS,UNDERTAKING AND ANY OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2076080,MAA GOURI ELECTRICALS,20-Feb-2023 08:54 AM,Rejected-Technical,Disqualified,19-Jun-2023 12:43 PM,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2084724,M/S SAIFEE MACHINERY STORES,20-Feb-2023 02:49 PM,Rejected-Technical,Disqualified,19-Jun-2023 12:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2080087,RM ENTERPRISES,16-Feb-2023 05:23 PM,Accepted-AOC,Qualified,19-Jun-2023 12:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
