Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"SHIFTING WORK OF EXISTING 315 KVA 100 KVA DSS (INSIDE DURGA MANDAP CAMPUS ) BUS STAND , POLSARA TO BACK SIDE OF VEGETABLE MARKET NEAR BUS STAND , POLSARA","SHIFTING WORK OF EXISTING 315 KVA 100 KVA DSS (INSIDE DURGA MANDAP CAMPUS ) BUS STAND , POLSARA TO BACK SIDE OF VEGETABLE MARKET NEAR BUS STAND , POLSARA",Please refer Tender documents. ,NA ,"16,36,490",Electrical Works,NA ,Tender,90.0,60.0,AREA OF NAC POLASARA,761105.0,NA ,NA ,NA ,NAC OFFICE POLASARA,No ,No,0.0,No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Polasara NAC,NAC/PLS-02/2022-23,2022_ORULB_83710_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER NAC POLASARA,NAC OFFICE NOTIFIED AREA COUNCIL POLASARA,"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,29-Nov-2022 12:00 PM,09-Dec-2022 11:00 AM,29-Nov-2022 12:00 PM,08-Dec-2022 05:30 PM,NA ,NA ,29-Nov-2022 12:00 PM,08-Dec-2022 05:30 PM,AOC,25-May-2023,"INR 1,530,281.85",60.0,Bhikari Khandual,01-Jun-2023 06:17 PM,utkalelectrical1.pdf (477.00 KB),SANGEETA BEHERA,Internal,TAHASILDAR EXECUTIVE OFFICER MUNICIPAL ENIGINEER JUNIOR ENGINEER ACCOUNTANT,Bhikari Khandual,25-May-2023 08:22 PM,finsummary_418804.pdf (273.40 KB),Finance,summary report attached,Bhikari Khandual,18-May-2023 11:13 AM,finance_418804.pdf,BOQ Comparative Chart,1,2006810,Debabrata Panda,08-Dec-2022 05:16 PM,Rejected-AOC,l4,01-Jun-2023 06:17 PM,1.0,2005113.0,United Electricals & Engineering Pvt. Ltd.,INR,"1,805,732",Municipal Bodies||Polasara NAC,2022_ORULB_83710_1,NAC/PLS-02/2022-23,"SHIFTING WORK OF EXISTING 315 KVA 100 KVA DSS (INSIDE DURGA MANDAP CAMPUS ) BUS STAND , POLSARA TO BACK SIDE OF VEGETABLE MARKET NEAR BUS STAND , POLSARA",SANGEETA BEHERA,Internal,TAHASILDAR EO ME JE ACCOUNTANT,Bhikari Khandual,18-May-2023 11:36 AM,techsummary_418804.pdf (273.40 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2005823,M/S MAA TRISHAKTI TRADERS,07-Dec-2022 09:07 PM,Rejected-AOC,l2,01-Jun-2023 06:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2005571,Ramahari Mohanty,07-Dec-2022 06:05 PM,Rejected-AOC,l3,01-Jun-2023 06:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2005113,United Electricals & Engineering Pvt. Ltd.,07-Dec-2022 01:44 PM,Accepted-AOC,l1,01-Jun-2023 06:17 PM,,,,,,,,,,,,,,,,AOC
