Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"11,800",0.0,Nil,Nil,No,16-Jan-2023 03:00 PM,24-Jan-2023 04:00 PM,16-Jan-2023 03:00 PM,23-Jan-2023 05:00 PM,16-Jan-2023 03:00 PM ,22-Jan-2023 12:00 PM ,16-Jan-2023 03:00 PM,23-Jan-2023 05:00 PM,10-Apr-2023 04:00 PM,1.0,2ND CORRIGENDUM,Technical Bid,,IDCO||IDCO||IDCO,BBSR/ELECT-II/e-06/22-23,2023_IDCO_85304_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,DIVISIONAL HEAD ELECTRICAL DIVISION-II,"ELECTRICAL DIVISION-II, 4TH FLOOR, TOWER-2000, I.E. MANCHESWAR, BHUBANESWAR",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"HT/LT ELECTRICAL LICENSE, GST, PAN, EPF WITH LATEST CHALLAN, SCHEDULE-D FOR EXPERIENCE AS BID DOC","1,84,000",No,fixed,,Nil,Nil,"Supply, installation, testing and commissioning for facade lighting of Kalamandala, Bhubaneswar","Supply, installation, testing and commissioning for facade lighting of Kalamandala, Bhubaneswar",Please refer bid documents ,NA ,"1,83,79,871",Electrical Works,Facade lighting ,Tender,120.0,30.0,"Kalamandal, Bhubaneswar",751001.0,"ELECTRICAL DIVISION-II, IDCO, BHUBANESWAR ","ELECTRICAL DIVISION-II, 4TH FLOOR, TOWER-2000, I.E. MANCHESWAR, BHUBANESWAR ",18-Jan-2023 01:00 PM ,"ELECTRICAL DIVISION-II, IDCO, BHUBANESWAR",No ,No,AOC,1,2058184,AADYA URJA SOLUTIONS PRIVATE LIMITED,23-Jan-2023 04:52 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,Dr.Er. Banashri Rath,Internal,Er. Tapan Kumar Panda Manager elect Saroj Kumar Mallick Dy Manager Finance Er. Pallipuspa Panda Dy. manager Elect Pujarani Parida Junior manager Elect,TAPAN KUMAR PANDA,06-Apr-2023 03:50 PM,10-Apr-2023 04:00 PM,techsummary_425102.pdf (387.78 KB),1.0,2058418.0,S.P POWER SYSTEM,INR,"18,379,871",21-Jun-2023,"INR 15,624,728",30.0,BANASHRI RATH,21-Jun-2023 06:55 PM,proceedingtech.pdf (667.00 KB),Amount as per AOC,Finance,FBOS,TAPAN KUMAR PANDA,21-Jun-2023 05:41 PM,finance_425102.pdf,BOQ Comparative Chart,Technical,BOS,TAPAN KUMAR PANDA,06-Apr-2023 03:39 PM,technical_425102.pdf,Dr.Er. Banashri Rath,Internal,"Er. Tapan Kumar Panda, Er. Pallipuspa Panda, Saroj Kumar Mallick",BANASHRI RATH,21-Jun-2023 06:32 PM,finsummary_425102.pdf (666.62 KB),IDCO||IDCO||IDCO,2023_IDCO_85304_1,BBSR/ELECT-II/e-06/22-23,"Supply, installation, testing and commissioning for facade lighting of Kalamandala, Bhubaneswar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2059072,Gayatri Agency,23-Jan-2023 04:39 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2058959,G-ON ENERGY CONTROLS,23-Jan-2023 04:13 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2058355,GREEN INNOVATIVE POWER PRIVATE LIMITED,23-Jan-2023 09:27 AM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2058949,ICON BUILDERS,23-Jan-2023 02:47 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2059060,MESSERS OMM SAI ELECTRICALS,23-Jan-2023 04:26 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2058637,MODERN WINDING AND ELECTRICALS,23-Jan-2023 11:45 AM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2058939,M/S MAA JOGAMAYA TRADERS PROP-BIBHUTI RANJAN BISWAL,23-Jan-2023 04:45 PM,Rejected-Technical,The bidder has not submitted all the required documents.,06-Apr-2023 03:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2059016,RAMESH CHANDRA MALLICK,23-Jan-2023 04:29 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2059005,SANSKRUTI ASSOCIATES PRIVATE LIMITED,23-Jan-2023 03:50 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2058418,S.P POWER SYSTEM,23-Jan-2023 02:33 PM,Accepted-AOC,The bidder was selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2058722,SURYA ROSHNI LTD,23-Jan-2023 04:56 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,2059084,UNIQUE INNOVATION,23-Jan-2023 04:50 PM,Rejected-AOC,The bidder was not selected in the Lottery system,21-Jun-2023 07:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
