S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2049667.0,M/S JAGANNATH FIRE SERVICES,INR,"5,047,875",CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,2022_CERWI_84738_1,ONLINE -BGH -16,Fire fighting System(PH and Electrical works)to M.C.H building at Sohela in the district of Bargarh during 2022-23 under NHM Grant.,Executive Engineer,Internal,"EE, DAO, Estimator",Sunanda Kisan,18-Jan-2023 05:39 PM,19-Jan-2023 11:00 AM,techsummary_423028.pdf (165.78 KB),EXECUTIVE ENGINEER,Internal,"EE,DAO,AEE,Estimator",Sanjay Kumar Mishra,07-Jun-2023 01:03 PM,finsummary_423028.pdf (32.11 KB),07-Jun-2023,"INR 5,047,875",60.0,Sanjay Kumar Mishra,07-Jun-2023 01:07 PM,1014.pdf (138.00 KB),1,2049667,M/S JAGANNATH FIRE SERVICES,12-Jan-2023 11:31 AM,Accepted-AOC,L1,07-Jun-2023 01:07 PM,Technical,"EE, DAO, ESTIMATOR",Sunanda Kisan,18-Jan-2023 05:37 PM,technical_423028.pdf,Finance,OK,Sanjay Kumar Mishra,20-Jan-2023 12:38 PM,,BOQ Comparative Chart,AOC,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,ONLINE -BGH -16,2022_CERWI_84738_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"O/O Executive Engineer,RW Division Bargarh",Fire fighting System(PH and Electrical works)to M.C.H building at Sohela in the district of Bargarh during 2022-23 under NHM Grant.,Building Works,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,60.0,Bargarh,768028.0,NA ,NA ,NA ,"O/O Executive Engineer,RW Division Bargarh",No ,No,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,"PAN,GSTIN,Affid.regarding correctness,no relation,Bid Decl.,Similar nature,Regd,as per DTCN",0.0,No,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,30-Dec-2022 11:00 AM,16-Jan-2023 11:00 AM,30-Dec-2022 11:00 AM,12-Jan-2023 05:00 PM,30-Dec-2022 11:00 AM ,12-Jan-2023 04:00 PM ,30-Dec-2022 11:00 AM,12-Jan-2023 05:00 PM,19-Jan-2023 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2049803,UMAFIRE SERVICES PVT. LTD,12-Jan-2023 01:09 PM,Rejected-Finance,L2,07-Jun-2023 01:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,AOC
