S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,OPENING DATE EXTENSION,Date,,1,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN",1,ICICI BANK,Construction of Road from main road to Tala Jaunli Pokhari Ward No 04,Construction of Road from main road to Tala Jaunli Pokhari Ward No 04,Please refer Tender documents. ,NA ,"8,47,449",Civil Works - Roads,NA ,Tender,120.0,60.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,"8,474",Yes,percentage,1.0%,Nil,Nil,21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:30 AM,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1.0,2129677.0,BINITA NATH,INR,"999,990",Municipal Bodies||Khordha Municipality,2023_ORULB_88116_5,KMPLTY/ 02/2023-24,Construction of Road from main road to Tala Jaunli Pokhari Ward No 04,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:18 AM,12-May-2023 09:30 AM,techsummary_434922.pdf (522.34 KB),17-Jun-2023,"INR 999,990",60.0,Rizwana Kawkab,17-Jun-2023 04:47 PM,IMG_20230617_0010.pdf (547.00 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,17-Jun-2023 04:46 PM,finsummary_434922.pdf (375.98 KB),Technical,opened,Nihar Ranjan Sahu,09-May-2023 11:08 AM,technical_434922.pdf,1,2129677,BINITA NATH,04-May-2023 10:10 AM,Accepted-AOC,DUE TO L1,17-Jun-2023 04:47 PM,Finance,OK,Rizwana Kawkab,12-May-2023 10:39 AM,,BOQ Comparative Chart,AOC
,,,,2,Finance,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2129872,M/S-SANTOSH KUMAR MOHANTY,04-May-2023 03:57 PM,Rejected-Finance,DUE TO L2,17-Jun-2023 04:46 PM,,,,,,,AOC
