Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Successfully Admitted 4 bidders.,Ramratan Bhuyan,28-Apr-2023 12:00 PM,,BOQ Comparative Chart,BDo Niali,Internal,,Ullas Kumar Sethy,01-Jun-2023 11:36 PM,finsummary_433450.pdf (304.72 KB),01-Jun-2023,"INR 2,422,160",240.0,Ullas Kumar Sethy,01-Jun-2023 11:43 PM,wokapasi.pdf (612.00 KB),1,2120638,APARAJITA SWAIN,26-Apr-2023 07:24 PM,Accepted-AOC,lowest Bidder Through lottery,01-Jun-2023 11:44 PM,1.0,2120638.0,APARAJITA SWAIN,INR,"2,422,160",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NIALI Block,2023_PRBNI_87682_1,NB 01 of 2023-24,Construction of Day Care Sub Centre Building at kapasi,BDO Niali,Internal,,Ullas Kumar Sethy,01-Jun-2023 11:13 PM,techsummary_433450.pdf (261.72 KB),AOC,"6,000",Nil,Nil,No,1.0,ICICI BANK,07-Apr-2023 10:00 AM,28-Apr-2023 11:30 AM,07-Apr-2023 10:00 AM,27-Apr-2023 05:00 PM,07-Apr-2023 10:00 AM ,27-Apr-2023 03:00 PM ,07-Apr-2023 10:00 AM,27-Apr-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,"29,000",Yes,fixed,,Nil,Nil,BDO NiALI,"Panchayat Samiti,Niali, Cuttack",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NIALI Block,NB 01 of 2023-24,2023_PRBNI_87682_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Day Care Sub Centre Building at kapasi,Construction of Day Care Sub Centre Cum Health and Wellness Building at Kapasi,Please refer Tender documents. ,NA ,"28,49,265",Civil Works - Buildings,NA ,Tender,90.0,240.0,"Panchayat Samiti,Niali",754004.0,NA ,NA ,NA ,"Panchayat Samiti,Niali",No ,No,AOC
,,,,,,,,,,,,,,,,,,2,2124789,AUROBIND MALLICK,27-Apr-2023 04:58 PM,Rejected-Finance,Through transparent lottery,01-Jun-2023 11:36 PM,,,,,,,,,,,,,,,,AOC,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3,2114599,RABINDRA BEHERA,25-Apr-2023 10:37 PM,Rejected-Finance,Through transparent lottery,01-Jun-2023 11:36 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,2124690,SANTOSH KUMAR MALLICK,27-Apr-2023 03:57 PM,Rejected-Finance,Through transparent lottery,01-Jun-2023 11:36 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
