Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
ER. Sarat Kumar Rout,Internal,,Sarat Kumar Rout,15-Apr-2023 01:29 PM,15-Apr-2023 01:30 PM,techsummary_431383.pdf (209.21 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2023_CERWI_87026_1,09/SERW/AND/2022-23,Construction of road from OAE Embankment to Kochilapadi Road from 0.00 km to 1.040 km in the District of Keonjhar under CMRL for the year 2022-23,1.0,2102080.0,Nishikanta Swain,INR,"6,014,900",Finance,10 bidders bid with quoted rate percent 14.99,Sarat Kumar Rout,15-Apr-2023 01:44 PM,finance_431383.pdf,BOQ Comparative Chart,1,2101580,ABHIRAM SAHU,20-Mar-2023 08:39 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,Technical,10 bidders are bid for the tender,Sushanti Dhal,05-Apr-2023 03:30 PM,technical_431383.pdf,22-May-2023,"INR 6,014,900",180.0,Sarat Kumar Rout,27-Jun-2023 02:17 PM,NSwain.pdf (183.00 KB),ER. Sarat Kumar Rout,Internal,,Sarat Kumar Rout,18-Apr-2023 11:48 AM,finsummary_431383.pdf (209.20 KB),AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Superintending Engineer,"Office of the Superintending Engineer, R.W. Division, Anandapur Salapada","74,300",Yes,percentage,1.0%,Nil,Nil,17-Mar-2023 12:30 PM,24-Mar-2023 11:30 AM,17-Mar-2023 12:30 PM,22-Mar-2023 05:00 PM,17-Mar-2023 12:30 PM ,21-Mar-2023 05:00 PM ,17-Mar-2023 12:30 PM,22-Mar-2023 05:00 PM,15-Apr-2023 01:30 PM,Construction of road from OAE Embankment to Kochilapadi Road from 0.00 km to 1.040 km in the District of Keonjhar under CMRL for the year 2022-23,Construction of road from OAE Embankment to Kochilapadi Road from 0.00 km to 1.040 km in the District of Keonjhar under CMRL for the year 2022-23,Please refer tender documents ,NA ,"74,30,000",Civil Works - Roads,NA ,Tender,90.0,180.0,"Salapada, Anandapur",758020.0,NA ,NA ,NA ,"R.W. Division, Anandapur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost, GSTIN, PAN,RC,Affidavit regarding correctness and other documents as per DTCN",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,09/SERW/AND/2022-23,2023_CERWI_87026_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2102290,BHUBANANANDA OJHA,22-Mar-2023 02:19 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour License, Similar nature of work, Work in hand and Machineries owned or obtained on hire",,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2101157,CHINTAMANI SAHOO,21-Mar-2023 12:39 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2102051,GAJENDRA KUMAR SAHOO,21-Mar-2023 08:28 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2102266,LALATENDU NAYAK,22-Mar-2023 02:18 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2102278,MIHIR KUMAR ROUT,22-Mar-2023 02:03 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2102080,Nishikanta Swain,21-Mar-2023 09:30 PM,Accepted-AOC,won 1st position in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2102256,SUBRAT KUMAR SAMAL,22-Mar-2023 02:38 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2102205,SURENDRA PATRA,22-Mar-2023 01:25 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2102318,SURESH KUMAR JENA,22-Mar-2023 03:50 PM,Rejected-AOC,not win in lottery procedure,27-Jun-2023 02:19 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
