S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2129667.0,GOPAL PRASAD SAHU,INR,"7,949,116","CCE, L Suktel Irr.Project,Bolangir||CCE,L Sukhtel,Bolangir||EE, RR C and B Divn",2023_CEEBO_88101_1,LSRRC AND B-01/2023-24,"CONSTRUCTION OF TRANSIT ACCOMODATION IN SITU TO BE SUBSEQUENTLY USED FOR ADDITIONAL ACCOMODATION FOR DIFFERENT UTILITIES IN BLOCK-A (PACKAGE-01) IN RR COLONY OF LSIP AT JHANKARPALI, BALANGIR.","Sri Jitendu Panigrahi, SE",Internal,"Sri Chetak Kumar Nayak, AEE, Sri Amrit Kumar Behera, DAO, Smt Lakhani Lakra, AE",Jitendu Panigrahi,08-May-2023 10:44 AM,08-May-2023 11:00 AM,techsummary_434864.pdf (939.95 KB),29-May-2023,"INR 7,949,116",30.0,Jitendu Panigrahi,12-Jun-2023 06:04 PM,Jhankarpali1.pdf (455.00 KB),Work Order,"ER JITENDU PANIGRAHI,SE",Internal,"ER CHETAK KUMAR NAYAK,AEE, ER LAKHANI LAKRA,AE,SRI AMRIT BEHERA,DAO",Jitendu Panigrahi,12-May-2023 10:46 AM,finsummary_434864.pdf (408.26 KB),1,2129297,anil kumar mohanty,04-May-2023 10:46 AM,Rejected-Finance,lose in the transparent lottery system,12-May-2023 10:46 AM,Technical,Tender for the above work was opened. Total 6 nos. of bidders have participated. Their documents were downloaded for technical evaluation.,CHETAK KUMAR NAYAK,06-May-2023 11:56 AM,,Finance,FINANCIAL BID FOR THE ABOVE TENDER WAS OPENED. TOTAL 6 NOS. OF BIDDERS HAVE BEEN PARTICIPATED AND THEIR FINANCIAL BOQ WERE DOWNLOADED AND PUT UP FOR FINANCIAL EVALUATION.,CHETAK KUMAR NAYAK,08-May-2023 12:53 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,"GSTIN,PAN,AFFIDAVIT,CONTRACTORS RC,NO RELATION CERTIFICATE,TENDER COST,EMD","CONSTRUCTION OF TRANSIT ACCOMODATION IN SITU TO BE SUBSEQUENTLY USED FOR ADDITIONAL ACCOMODATION FOR DIFFERENT UTILITIES IN BLOCK-A (PACKAGE-01) IN RR COLONY OF LSIP AT JHANKARPALI, BALANGIR.","CONSTRUCTION OF TRANSIT ACCOMODATION IN SITU TO BE SUBSEQUENTLY USED FOR ADDITIONAL ACCOMODATION FOR DIFFERENT UTILITIES IN BLOCK-A (PACKAGE-01) IN RR COLONY OF LSIP AT JHANKARPALI, BALANGIR.",Please refer Tender documents. ,NA ,"93,50,801",Civil Works - Buildings,NA ,Rate Contract,90.0,30.0,JHANKARPALI,767001.0,"OFFICE OF THE SE,LSRRC AND B DIV,BALANGIR ","OFFICE OF THE SE,LSRRC AND B DIV,BALANGIR ",27-Apr-2023 10:00 AM ,"OFFICE OF THE SE,LSRRC AND B DIV,BALANGIR",No ,No,"10,000",0.0,Nil,Nil,No,20-Apr-2023 09:00 AM,06-May-2023 10:00 AM,20-Apr-2023 10:00 AM,04-May-2023 05:30 PM,20-Apr-2023 10:00 AM ,27-Apr-2023 05:30 PM ,20-Apr-2023 10:00 AM,04-May-2023 05:30 PM,08-May-2023 11:00 AM,SUPERINTENDING ENGINEER,"OFFICE OF THE SE,LSRRC AND B DIV,BALANGIR, LALTIKRA","CCE, L Suktel Irr.Project,Bolangir||CCE,L Sukhtel,Bolangir||EE, RR C and B Divn",LSRRC AND B-01/2023-24,2023_CEEBO_88101_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"93,508",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2130057,BISWA RANJAN PUJARI,04-May-2023 02:59 PM,Rejected-Finance,lose in the transparent lottery system,12-May-2023 10:46 AM,,,,,,,,,,,,AOC,,,.pdf,ANY OTHER DOCS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2129667,GOPAL PRASAD SAHU,04-May-2023 02:20 PM,Accepted-AOC,won in the lottery system,12-Jun-2023 06:05 PM,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2129681,KANHU KUMAR AGRAWAL,04-May-2023 10:15 AM,Rejected-Finance,lose in the transparent lottery system,12-May-2023 10:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2129370,PANCHANAN NANDA,04-May-2023 11:41 AM,Rejected-Finance,lose in the transparent lottery system,12-May-2023 10:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2128627,SKG COMBINES PRIVATE LIMITED,04-May-2023 03:17 PM,Rejected-Finance,lose in the transparent lottery system.,12-May-2023 10:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
