Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"S.E, Prachi Division, Bhubaneswar","S.E, Prachi Division, Bhubaneswar",20-Feb-2023 11:00 AM,02-Mar-2023 11:00 AM,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,20-Feb-2023 11:00 AM ,27-Feb-2023 05:00 PM ,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,"44,600",Yes,fixed,,Nil,Nil,(12) Construction of toe wall with strengthening to KSDR Embankment from RD 58.30 to 58.50 Km. and 56.95 to 57.05 Km.,Construction of toe wall with strengthening to KSDR Embankment from RD 58.30 to 58.50 Km. and 56.95 to 57.05 Km.,Please refer Tender documents. ,NA ,"44,58,153",Civil Works - Others,NA ,Tender,90.0,120.0,Niali,754004.0,NA ,NA ,NA ,"S.E, Prachi Division, Bhubaneswar",No ,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",e-Procurement Notice No.SEPRD-27/2022-23,2023_CELBB_86355_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTC",AOC,26-Apr-2023,"INR 3,789,876",120.0,K. Krishna Rao,01-Jun-2023 06:27 PM,AOC_27_12.pdf (126.00 KB),The work has been awarded to Sri Sugyan Kumar Swain,1,2093240,ABINASH NAYAK,01-Mar-2023 01:13 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,12-Apr-2023 05:00 PM,techsummary_429395.pdf (128.40 KB),"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2023_CELBB_86355_12,e-Procurement Notice No.SEPRD-27/2022-23,(12) Construction of toe wall with strengthening to KSDR Embankment from RD 58.30 to 58.50 Km. and 56.95 to 57.05 Km.,"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,13-Apr-2023 05:24 PM,finsummary_429395.pdf (128.40 KB),Finance,24 Nos Bidders Participated,K. Krishna Rao,02-Mar-2023 08:10 PM,,BOQ Comparative Chart,1.0,2093190.0,SUGYAN KUMAR SWAIN,INR,"3,789,876",AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,2,2092695,AMIYA KUMAR MOHAPATRA,28-Feb-2023 06:08 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2093349,ASHUTOSH MOHAPATRA,01-Mar-2023 01:51 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2088712,BISWA BHUSAN SWIN,24-Feb-2023 04:53 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2093163,CHANDRAKANTA BEURA,01-Mar-2023 01:31 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2092777,DEBAKANTA MALLICK,28-Feb-2023 07:39 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2092440,DIBYA RANJAN MOHANTY,28-Feb-2023 01:17 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2092500,JAGAN TARAI,01-Mar-2023 12:51 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2092844,JAYASMITA RAY,28-Feb-2023 08:39 PM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2090055,PADMALOCHAN PRADHAN,26-Feb-2023 11:33 AM,Rejected-Finance,Other than L1,13-Apr-2023 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
