S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
1.0,2135644.0,Ganesh Chandra Minz,INR,"5,464,445","CE,Minor Irrigation,BBSR||Angul Minor Irrigation Circle Dhenkanal||MI Division Deogarh",2023_CEMIB_88513_1,"EE,MID,DGR/02/2023-24",Improvement to Kalamati MIP in Tileibani Block of Deogarh District under RRR,S.E. MID DGR,Internal,"DAO, AE ESTIMATOR, AEE, DEOGARH, AEE BARKOTE,",Ashok Kumar Naik,20-May-2023 09:36 AM,20-May-2023 09:40 AM,techsummary_436163.pdf (1078.09 KB),S.E. MID DGR,Internal,"DAO, AE ESTIMATOR",Ashok Kumar Naik,21-Jun-2023 05:19 PM,finsummary_436163.pdf (1078.09 KB),21-Jun-2023,"INR 5,464,445",240.0,Ashok Kumar Naik,21-Jun-2023 05:20 PM,kalamati.pdf (334.00 KB),1,2135308,ALOK RANJAN PRADHAN,10-May-2023 10:01 AM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,Technical,11 nos of sucessful bidders are qualified for financial bids,Ashok Kumar Naik,20-May-2023 09:29 AM,technical_436163.pdf,Finance,11 nos of bidder qualified,Ashok Kumar Naik,21-Jun-2023 05:15 PM,finance_436163.pdf,BOQ Comparative Chart,AOC,29-Apr-2023 10:00 AM,11-May-2023 11:00 AM,29-Apr-2023 10:00 AM,10-May-2023 05:30 PM,29-Apr-2023 10:00 AM ,10-May-2023 05:30 PM ,29-Apr-2023 10:00 AM,10-May-2023 05:30 PM,20-May-2023 09:40 AM,"64,000",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||Angul Minor Irrigation Circle Dhenkanal||MI Division Deogarh","EE,MID,DGR/02/2023-24",2023_CEMIB_88513_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit, GSTIN, Pan card, Registration certificate and as per DTCN","Superintending Engineer, M.I. Division, Deogarh","O/O of the Suprintending Engineer, M.I. Division, Deogarh",Improvement to Kalamati MIP in Tileibani Block of Deogarh District under RRR,Imp. to Kalamati MIP in Tileibani Block of Deogarh District under RRR,B class cont ,NA ,"64,28,002",Civil Works - Others,NA ,Tender,90.0,240.0,"TILEIBANI BLOCK , DEOGARH DISTRICT",768119.0,NA ,NA ,NA ,"O/O the Superintending Engineer, M.I. Division, De",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2135644,Ganesh Chandra Minz,10-May-2023 02:42 PM,Accepted-AOC,L1 in lottery system,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QNTY,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2135234,KSHITISH KUMAR NAYAK,09-May-2023 11:18 PM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2134781,LINKAN KUMAR SAHU,09-May-2023 12:51 PM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2135295,MANASA RANJAN DEBATA,10-May-2023 09:14 AM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2135305,MUKESH KUMAR MOHAPATRA,10-May-2023 09:47 AM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2134987,PANDAB SETHI,09-May-2023 03:36 PM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2134555,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",09-May-2023 09:34 AM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2135254,SMITA PRADHAN,10-May-2023 12:10 AM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2134788,SUSHANTA KUMAR BEHERA,09-May-2023 02:02 PM,Rejected-AOC,L2,21-Jun-2023 05:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
