Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Sri Tarini Chandra Sethy,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Manoranjan Behera,20-May-2023 07:40 PM,techsummary_436301.pdf (202.53 KB),01-Jun-2023,"INR 1,636,052",120.0,Himanshu Sekhar Behera,22-Jun-2023 11:15 AM,33Manjore2.pdf (1541.00 KB),Through transparent lottery system.,1,2135108,ASIAN GEOTECH RESEARCH SERVICES,10-May-2023 11:08 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,1.0,2135665.0,Subudhi Technoengineers Pvt Ltd,INR,"1,636,052",Finance,13 (Thirteen) Nos. of Bidders have participated.,Rajendra Kumar Behera,11-May-2023 01:23 PM,,BOQ Comparative Chart,Sri Tarini Chandra Sethy JD,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Himanshu Sekhar Behera,22-May-2023 07:58 PM,finsummary_436301.pdf (597.46 KB),Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2023_CADSP_88509_33,JDSP-01/2023-24,Survey and Planning for Command Area Development and water management in Manjore Irrigation Project (Left Main Canal RD 0.0 Km to 2.5km and Offtakings ) of Block Athamallik in Angul District,AOC,Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-01/2023-24,2023_CADSP_88509_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,300",Yes,fixed,,Nil,Nil,01-May-2023 11:00 AM,11-May-2023 11:00 AM,01-May-2023 11:00 AM,10-May-2023 05:00 PM,01-May-2023 11:00 AM ,06-May-2023 05:00 PM ,01-May-2023 11:00 AM,10-May-2023 05:00 PM,1.0,ICICI BANK,"6,000",Nil,Nil,No,Deputy Director,"office of JD, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha,",1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, EMD,Bid Security Declaration, Affidavit and other Document",Survey and Planning for Command Area Development and water management in Manjore Irrigation Project (Left Main Canal RD 0.0 Km to 2.5km and Offtakings ) of Block Athamallik in Angul District,Survey and Planning for Command Area Development and water management,Please refer Tender documents. ,NA ,"19,24,540",Civil Works - Others,NA ,Tender,90.0,120.0,Athamallik,759125.0,NA ,NA ,NA ,"JD, SP, OFMRDC Campus, Satyanagar, Bhubaneswar-7",No ,No,AOC
,,,,,,,,,,,,,2,2135334,CHETAK ENGINEERS,10-May-2023 03:03 PM,Rejected-Technical,Due to non-fulfilling of criteria as per DTCN,20-May-2023 07:40 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2135159,D N CONSULTANT,10-May-2023 10:05 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2134963,Hydropneum Systems,10-May-2023 11:22 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2134817,M/S GAYATRI CONSULTANT,10-May-2023 12:04 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2131931,M/s M K CONSULTANCY,09-May-2023 03:20 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2135271,NIRAJ BHARAT VANKUDRE,10-May-2023 04:12 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 07:40 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2134200,"Pioneer, Consulting Engineers & Contractors",09-May-2023 10:05 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2135665,Subudhi Technoengineers Pvt Ltd,10-May-2023 04:16 PM,Accepted-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2131400,Sujal Associates,06-May-2023 10:20 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 11:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
