S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,Document as per Detail Tender Call Notice,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,"2,000",0.0,Nil,Nil,No,"Supply, fitting and fixing of stainless steel grill infront of Poura Bhawan, ward No.15","Supply, fitting and fixing of stainless steel grill infront of Poura Bhawan, ward No.15",Please refer Tender documents. ,NA ,"4,98,700",Civil Works - Others,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality Office,No ,No,Municipal Bodies||Barbil Municipality,BBLM-1/2023-24,2023_ORULB_87484_93,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"4,987",Yes,percentage,1.0%,Nil,Nil,18-Apr-2023 10:00 AM,03-May-2023 11:00 AM,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,NA ,NA ,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,17-May-2023 09:00 AM,AOC,1,2127080,Ananta Charan Rout,01-May-2023 07:51 AM,Rejected-Finance,Second,30-Jun-2023 11:16 AM,30-Jun-2023,"INR 485,836.57",45.0,Abhishek Panda,30-Jun-2023 12:22 PM,93.pdf (506.00 KB),Contact value excluding GST,Finance,Open,Abhishek Panda,18-May-2023 05:01 PM,finance_434154.pdf,BOQ Comparative Chart,Laxman Mahanta,Internal,"JE,ME,EO,Accnt",Abhishek Panda,16-May-2023 06:51 PM,17-May-2023 09:00 AM,techsummary_434154.pdf (11332.12 KB),Laxman Mahanta,Internal,"JE,ME,EO",Abhishek Panda,30-Jun-2023 11:16 AM,finsummary_434154.pdf (1024.78 KB),Municipal Bodies||Barbil Municipality,2023_ORULB_87484_93,BBLM-1/2023-24,"Supply, fitting and fixing of stainless steel grill infront of Poura Bhawan, ward No.15",Technical,Open,Abhishek Panda,06-May-2023 11:39 AM,technical_434154.pdf,1.0,2127144.0,ISWAR CHANDRA SAMAL,INR,"485,836.57",AOC
2,ICICI NEFT/RTGS,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2127144,ISWAR CHANDRA SAMAL,30-Apr-2023 11:39 PM,Accepted-AOC,Lowest,30-Jun-2023 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
