Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Eleven (11) number of bidders are successful downloaded.,Lipi Bisoyi,29-May-2023 01:18 PM,,BOQ Comparative Chart,1.0,2147420.0,ASISH KUMAR MISHRA,INR,"559,411","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",2023_CEBMB_89022_10,e-procurement Notice No. e-BNID-03/2023-24,Construction of VRB at RD 5050 M including renovation of Baghua Right Canal in between RD 5300 M to 5500 M of BIP.,Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,30-Jun-2023 04:03 PM,finsummary_438031.pdf (126.74 KB),Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,30-Jun-2023 04:01 PM,techsummary_438031.pdf (114.94 KB),1,2147420,ASISH KUMAR MISHRA,26-May-2023 11:40 AM,Accepted-AOC,Successful in Lottery,30-Jun-2023 04:05 PM,30-Jun-2023,"INR 559,411",90.0,Gokula Chandra Padhi,30-Jun-2023 04:04 PM,AOC-78-10.PDF (119.00 KB),The date of commencement of the work is on dated 12.06.2023 and stipulated date of completion on dated 11.09.2023 vide Agreement No.69P1/2023-24.,AOC,"6,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,"S.E., Bhanjanagar Irrigation Division, Bhanjanagar","O/o the SE, Bhanjanagar Irr. Divn., Bhanjanagar, Pin No-761126",17-May-2023 10:00 AM,29-May-2023 11:00 AM,17-May-2023 10:00 AM,26-May-2023 05:00 PM,NA ,NA ,17-May-2023 10:00 AM,26-May-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost,Valid Register License,PAN CARD,GSTIN,EMD,Affidavit,Other document as per DTCN.","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",e-procurement Notice No. e-BNID-03/2023-24,2023_CEBMB_89022_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of VRB at RD 5050 M including renovation of Baghua Right Canal in between RD 5300 M to 5500 M of BIP.,Construction of VRB at RD 5050 M including renovation of Baghua Right Canal in between RD 5300 M to 5500 M of BIP.,Please refer Tender documents. ,NA ,"6,58,053",Civil Works - Others,NA ,Tender,90.0,90.0,Buguda,761118.0,NA ,NA ,NA ,"S.E., Bhanjanagar Irrigation Division, Bhanjanagar",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2147466,BASANT KUMAR SWAIN,26-May-2023 11:53 AM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2147915,BIJU BARADA,26-May-2023 04:21 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2144633,Kongres Das,23-May-2023 10:32 AM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2147626,MAHENDRA PRADHAN,26-May-2023 12:57 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2145993,MANORANJAN PRADHAN,24-May-2023 07:49 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2145901,NIRANJAN PRADHAN,24-May-2023 06:43 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2147900,RAJARAM NAYAK,26-May-2023 04:01 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2147352,Santosh Kumar Panda,26-May-2023 11:28 AM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2147931,SARATHI NAHAK,26-May-2023 04:19 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 04:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
