Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
28-Apr-2020,"INR 532,617.53",90.0,Bhikari Khandual,01-Jun-2023 05:38 PM,karpurabarik1.pdf (429.00 KB),Finance,All the 13 tenders with Ref. No.- E.O/N.A.C/PLS-05/2019-20 have been opened successfully on date 17.03.2020 at time 12.00 Noon in the presence of Tender Committee.,Prasana Kumar Dash,17-Mar-2020 01:26 PM,finance_316750.pdf,BOQ Comparative Chart,Sri Kabindra Kumar Sahu,Internal,,Prasana Kumar Dash,19-Mar-2020 06:01 PM,finsummary_316750.pdf (103.79 KB),1,1274214,Karpur Barik,16-Mar-2020 12:26 PM,Accepted-AOC,l1,01-Jun-2023 05:39 PM,1.0,1274214.0,Karpur Barik,INR,"596,500",Municipal Bodies||Polasara NAC,2020_ORULB_60268_9,E.O/N.A.C/PLS-05/2019-20,Const. of Mini Children Park at Patigada near souchalaya of NAC Polasara,Sri Kabindra Kumar Sahu,Internal,,Prasana Kumar Dash,17-Mar-2020 01:57 PM,techsummary_316750.pdf (103.79 KB),AOC,Const. of Mini Children Park at Patigada near souchalaya of NAC Polasara,Const. of Mini Children Park at Patigada near souchalaya of NAC Polasara,Please refer Tender documents. ,NA ,"5,32,590",Civil Works - Others,NA ,Tender,60.0,60.0,N.A.C POLASARA,761105.0,NA ,NA ,NA ,N.A.C OFFICE POLASARA,No ,No,Municipal Bodies||Polasara NAC,E.O/N.A.C/PLS-05/2019-20,2020_ORULB_60268_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER N.A.C POLASARA,N.A.C OFFICE POLASARA,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"5,400",Yes,fixed,,EXECUTIVE OFFICER N.A.C POLASARA,POLASARA,"4,080",0.0,EXECUTIVE OFFICER N.A.C POLASARA,POLASARA,No,28-Feb-2020 11:00 AM,17-Mar-2020 11:00 AM,28-Feb-2020 11:00 AM,16-Mar-2020 05:00 PM,NA ,NA ,28-Feb-2020 11:00 AM,16-Mar-2020 05:00 PM,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,2,1274496,SATYA NARAYAN BEHERA,16-Mar-2020 02:14 PM,Rejected-Finance,L2,19-Mar-2020 06:01 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
