Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Road at Back side of Saraswati Sishu Mandir in ward No 12,Construction of Road at Back side of Saraswati Sishu Mandir in ward No 12,Please refer Tender documents. ,NA ,"4,23,683",Civil Works - Roads,NA ,Tender,120.0,60.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,1,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN","2,000",0.0,Nil,Nil,No,1,ICICI BANK,1.0,OPENING DATE EXTENSION,Date,,Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_32,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:40 AM,"4,237",Yes,percentage,1.0%,Nil,Nil,AOC,1,2130172,NASIRUDDIN KHAN,04-May-2023 04:47 PM,Rejected-Finance,DUE TO L2,19-Jun-2023 04:17 PM,19-Jun-2023,"INR 474,998",60.0,Rizwana Kawkab,19-Jun-2023 04:18 PM,IMG_20230619_0007.pdf (550.00 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:37 AM,12-May-2023 09:40 AM,techsummary_435064.pdf (522.34 KB),Finance,OK,Rizwana Kawkab,12-May-2023 10:15 AM,,BOQ Comparative Chart,Technical,OPENED,Nihar Ranjan Sahu,09-May-2023 10:45 AM,technical_435064.pdf,Municipal Bodies||Khordha Municipality,2023_ORULB_88116_32,KMPLTY/ 02/2023-24,Construction of Road at Back side of Saraswati Sishu Mandir in ward No 12,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,19-Jun-2023 04:17 PM,finsummary_435064.pdf (375.98 KB),1.0,2130167.0,SATYANARAYAN RAM,INR,"474,998",AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2130167,SATYANARAYAN RAM,04-May-2023 04:41 PM,Accepted-AOC,DUE TO L1,19-Jun-2023 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
