Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"BDO, Jagatsinghpur","O/o The Panchayat Samiti, Jagatsinghpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, RC, NR, Affd. towards Correctness Cert. and Other Documents as per DTCN","6,000",Nil,Nil,No,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jagatsinghpur||JAGATSINGHPUR Block,Bid Identification No. BDO JAGATSINGHPUR PS-01/22-,2023_PRBJG_86122_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,15-Feb-2023 10:00 AM,02-Mar-2023 11:00 AM,15-Feb-2023 10:00 AM,01-Mar-2023 05:00 PM,15-Feb-2023 10:00 AM ,28-Feb-2023 03:00 PM ,15-Feb-2023 10:00 AM,01-Mar-2023 05:00 PM,"32,695",Yes,percentage,1.0%,Nil,Nil,Construction of Day Care cum Health and Wellness Centre at Palasa 1 Sub centre of Sabhamula GP,Construction of Day Care cum Health and Wellness Centre at Palasa 1 Sub centre of Sabhamula GP,Please refer Tender documents. ,NA ,"32,69,456",Civil Works - Buildings,NA ,Tender,90.0,180.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/o The Panchayat Samiti, Jagatsinghpur",No ,No,AOC,BDO,Internal,AEE,Krushna Chandra Sethy,20-Apr-2023 11:30 AM,techsummary_428395.pdf (461.95 KB),1.0,2092169.0,BHRAMAR BARA BEHERA,INR,"2,779,364",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jagatsinghpur||JAGATSINGHPUR Block,2023_PRBJG_86122_1,Bid Identification No. BDO JAGATSINGHPUR PS-01/22-,Construction of Day Care cum Health and Wellness Centre at Palasa 1 Sub centre of Sabhamula GP,1,2092169,BHRAMAR BARA BEHERA,28-Feb-2023 02:13 PM,Accepted-AOC,1st lowest,26-Jun-2023 03:36 PM,26-Jun-2023,"INR 2,779,364",180.0,Krushna Chandra Sethy,26-Jun-2023 03:35 PM,WorkOrder.pdf (432.00 KB),AoC,BDO,Internal,AEE,Krushna Chandra Sethy,20-Apr-2023 11:35 AM,finsummary_428395.pdf (461.95 KB),Finance,Summary,Krushna Chandra Sethy,20-Apr-2023 11:15 AM,finance_428395.pdf,BOQ Comparative Chart,AOC
,,,,.xls,BOQ,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2093022,DEBASHISH DAS,01-Mar-2023 10:30 AM,Rejected-Technical,Not sucess in lottery,20-Apr-2023 11:30 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2092548,HRUSI KESH JENA,28-Feb-2023 05:36 PM,Rejected-Technical,Not sucess in lottery,20-Apr-2023 11:30 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2092724,M/S. SABITA BEHERA,28-Feb-2023 07:37 PM,Rejected-Technical,Not sucess in lottery,20-Apr-2023 11:30 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2093073,M/S . VERACITY,01-Mar-2023 11:20 AM,Rejected-Technical,Not sucess in lottery,20-Apr-2023 11:30 AM,,,,,,,,,,,,,,,,,,,,AOC
