Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Executive Engineer GWD Division I,Internal,,Sudhiranjan Behera,26-May-2023 01:27 PM,finsummary_436803.pdf (543.36 KB),Ground Water Survey and Investigation,2023_GWSI_88738_1,02/GWDHPD/ARUA/2023-24,Construction of 20 nos recharge shafts in Tanks/Ponds in Bolagarh Block of Khurdha District Phase ii,1.0,2140989.0,KESHAB CHANDRA NAYAK,INR,"3,679,313",02-Jun-2023,"INR 3,679,313",60.0,Sudhiranjan Behera,16-Jun-2023 02:00 PM,loabolph2.pdf (547.00 KB),1,2140962,CHANDRAKANT PRUSTY,17-May-2023 10:14 AM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,Executive Engineer GWD Division I,Internal,,Sudhiranjan Behera,22-May-2023 12:40 PM,techsummary_436803.pdf (544.00 KB),Finance,Bid Opening Summary,Laxmi Narayan Pradhan,17-May-2023 12:54 PM,finance_436803.pdf,BOQ Comparative Chart,AOC,Construction of 20 nos recharge shafts in Tanks/Ponds in Bolagarh Block of Khurdha District Phase ii,Construction of 20 nos recharge shafts in Tanks/Ponds in Bolagarh Block of Khurdha District Phase ii,Please refer Tender documents. ,NA ,"43,28,095",Civil Works - Others,NA ,Tender,90.0,60.0,"Executive Engineer, GWD Division-I, Unit-VIII,",751012.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,"43,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDERDOCUMENTS,"Executive Engineer, GWD Division-I, Unit-VIII,","Executive Engineer GWD Division -I, Unit-VIII,Delta Square,Bhubaneswar-751012",08-May-2023 11:00 AM,17-May-2023 12:00 PM,08-May-2023 11:00 AM,17-May-2023 11:00 AM,NA ,NA ,08-May-2023 11:00 AM,17-May-2023 11:00 AM,"6,000","1,080",Nil,Nil,No,1.0,ICICI BANK,Ground Water Survey and Investigation,02/GWDHPD/ARUA/2023-24,2023_GWSI_88738_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,2134776,Chinmaya Mohanty,09-May-2023 12:52 PM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,2138901,ISAHAQUE KHAN,15-May-2023 01:30 PM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2140989,KESHAB CHANDRA NAYAK,17-May-2023 10:33 AM,Accepted-AOC,WON LOTTERY,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2140957,MATOSHREE CONSTRUCTION & DEVELOPER PROP-MANAS KUMAR MOHAPATRA,17-May-2023 09:53 AM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2140036,PRATIMA ROUT,16-May-2023 12:37 PM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2140698,Pulak Kumar Pati,16-May-2023 09:50 PM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2140015,RAJENDRA PRASAD ROUT,16-May-2023 12:28 PM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2140925,RUDRA CONSTRUCTION,17-May-2023 09:02 AM,Rejected-Technical,Non-Responsive,22-May-2023 12:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2140949,SHREE SAI ENTERPRISES PROP RASHMI RANJAN JENA,17-May-2023 09:35 AM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,2134761,THAKUR PRASAD PANDA,16-May-2023 08:05 PM,Rejected-AOC,Did not win lottery,16-Jun-2023 02:02 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
