Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Er. B.Panigrahi, SE",Internal,"Er.R.R.Mohanty, AEE (Estr), Sri B.K.Padhan, Divisional Accountant",BISWAJIT PANIGRAHI,06-Jun-2023 12:02 PM,techsummary_437598.pdf (117.53 KB),1.0,2142638.0,NALINI SAHU,INR,"730,746","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Rukura Irrigation Division , Panposh",2023_CEBBU_88924_5,CDT-02 of 2023-24,Construction of Protection wall within RD 00 m to 500.00 m of MDL offtaking at RD 26563.0 m of Bargarh Distributary.,1,2142040,DEBASIS NANDA,19-May-2023 11:17 AM,Rejected-Finance,Rejected in the transparent lottery system,06-Jun-2023 12:53 PM,06-Jun-2023,"INR 859,600",30.0,BISWAJIT PANIGRAHI,16-Jun-2023 01:01 PM,2-5.pdf (118.00 KB),Work order,Finance,All bids opened,BISWAJIT PANIGRAHI,24-May-2023 10:16 AM,finance_437598.pdf,BOQ Comparative Chart,"Er. B.Panigrahi, SE",Internal,"Er.R.R.Mohanty, AEE (Estr), Sri B.K.Padhan, Divisional Accountant",BISWAJIT PANIGRAHI,06-Jun-2023 12:53 PM,finsummary_437598.pdf (106.04 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid R.C, PAN, GSTIN, Affidavits, No Relation Certificate and other documents as per DTCN","8,600",Yes,fixed,,Nil,Nil,Construction of Protection wall within RD 00 m to 500.00 m of MDL offtaking at RD 26563.0 m of Bargarh Distributary.,Improvement of canal,Please refer Tender documents. ,NA ,"8,59,600",Civil Works - Canal,NA ,Tender,90.0,30.0,Bargarh,768028.0,NA ,NA ,NA ,"O/o the S.E., Bargarh Irrigation Division, Bargarh",No ,No,"4,000",0.0,Nil,Nil,No,12-May-2023 01:00 PM,23-May-2023 10:00 AM,12-May-2023 01:00 PM,22-May-2023 05:00 PM,12-May-2023 01:00 PM ,20-May-2023 01:00 PM ,12-May-2023 01:00 PM,22-May-2023 05:00 PM,1.0,ICICI BANK,"S.E., Bargarh Irrigation Division, Bargarh","O/o the S.E., Bargarh Irrigation Division, Bargarh","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Rukura Irrigation Division , Panposh",CDT-02 of 2023-24,2023_CEBBU_88924_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2142674,GANESH DASH,20-May-2023 12:18 PM,Rejected-Finance,Rejected in the transparent lottery system,06-Jun-2023 12:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2142748,MANORANJAN SAHU,20-May-2023 01:29 PM,Rejected-Finance,Rejected in the transparent lottery system,06-Jun-2023 12:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2142638,NALINI SAHU,20-May-2023 12:12 PM,Accepted-AOC,Work Order,16-Jun-2023 01:01 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2143763,RASHMIRANJAN MUDULI,22-May-2023 04:31 PM,Rejected-Finance,Rejected in the transparent lottery system,06-Jun-2023 12:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2143306,SURENDRANATH PATTNAIK,21-May-2023 11:46 AM,Rejected-Finance,Rejected in the transparent lottery system,06-Jun-2023 12:53 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
