Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
CE RW I||RWCIRCLE-ANGUL,2023_CERWI_86921_2,Bridge Online AGL- 23/2022-23,Construction of bridge over Sankhei Nallah on Koilipangi to Motari road rod in the District of Dhenkanal under BSY for the year 2022-23.,1.0,2103073.0,Pramod Kumar Das,INR,"11,541,974",Debashis Padhi,Internal,"E.E, DAO Estimator",Debashis Padhi,26-Mar-2023 08:33 PM,29-Mar-2023 04:00 PM,techsummary_431147.pdf (117.38 KB),Chief Construction Engineer,Internal,E.E DAO Estimator,Debashis Padhi,09-Jun-2023 11:34 AM,finsummary_431147.pdf (89.28 KB),09-Jun-2023,"INR 11,541,974",450.0,Debashis Padhi,09-Jun-2023 11:35 AM,Sankhei.pdf (89.00 KB),Return of E.M.D,1,2102958,CHANDAN PRADHAN,24-Mar-2023 03:24 PM,Rejected-Technical,Fails in Clause No.14(c)(i) of DTCN,26-Mar-2023 08:33 PM,Technical,Five Bidders found,Sasmita Das,26-Mar-2023 10:47 AM,,Finance,Two Bidders found,Sasmita Das,15-Apr-2023 09:30 AM,finance_431147.pdf,BOQ Comparative Chart,AOC,14-Mar-2023 06:55 PM,25-Mar-2023 05:10 PM,14-Mar-2023 06:55 PM,25-Mar-2023 05:00 PM,14-Mar-2023 06:55 PM ,22-Mar-2023 01:00 PM ,14-Mar-2023 06:55 PM,25-Mar-2023 05:00 PM,29-Mar-2023 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD one percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness","1,35,780",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,"Due Date Extended - Due to some issues in accessing portals, all the tenders due for closing on 24-Mar-2023 have been extended by 24 hours as per System Malfunction Procedure. Inconvenience caused is deeply regretted.",Admin Corrigendum Date Extend,,Construction of bridge over Sankhei Nallah on Koilipangi to Motari road rod in the District of Dhenkanal under BSY for the year 2022-23.,Construction of bridge over Sankhei Nallah on Koilipangi to Motari road rod in the District of Dhenkanal under BSY for the year 2022-23.,Please refer Tender documents. ,NA ,"1,35,78,000",Civil Works - Bridges,NA ,Tender,90.0,450.0,Dhenkanal,759013.0,NA ,NA ,NA ,"Office of the C.C.E,R.W.Circle,Angul",No ,No,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer R.W.Circle,Angul",At-Hakimpda Po-Hakimpada District- Angul,CE RW I||RWCIRCLE-ANGUL,Bridge Online AGL- 23/2022-23,2023_CERWI_86921_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2100355,GOPALA CONSTRUCTION,22-Mar-2023 11:31 PM,Rejected-AOC,0,09-Jun-2023 11:35 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"Labour licence,Similar nature of work,Work in hand,Annual Turn Over,No relation certificate",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2102438,Manoj Kumar Nayak,23-Mar-2023 07:40 PM,Rejected-Technical,Fails in Clause No.14(c)(i) of DTCN,26-Mar-2023 08:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2103054,Nitish Biswal,24-Mar-2023 04:27 PM,Rejected-Technical,Fails in Clause No.14(c)(iii) of DTCN,26-Mar-2023 08:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2103073,Pramod Kumar Das,24-Mar-2023 04:26 PM,Accepted-AOC,Winner of lottery,09-Jun-2023 11:35 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
